Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1796,MMA--09--- (Room 220),unassigned,MPHE-09--- (Room Gym),MEN--09--- (Room 222),MADD-09--- (Room 105),MSS--09--- (Room 107),MADGE09--- (Room 105),MSC--09--- (Room 226)
1797,XBA--09C-L (Room 119),MSC--09--- (Room 227),MMA--09H-- (Room 106),MEN--09--- (Room 107),MADD-09--- (Room 105),MSS--09--- (Room 121),XBA--09G-- (Room 119),XBA--09C-L (Room 119)
1798,MADGE09--- (Room 105),unassigned,MPHE-09--- (Room Gym),MADD-09--- (Room 105),MSS--09C-- (Room 209),MEN--09C-- (Room A-6),MWBDV10IT- (Room 114),MSC--09C-- (Room 211)
1799,MFR--09--- (Room 208),MSC--09C-- (Room 226),MSS--09C-- (Room 121),XLDCB09M-- (Room 103),MPHE-09B-- (Room Gym),MEN--09C-- (Room A-6),MADGE09--- (Room 105),MMA--09C-- (Room 212)
1800,MMA--09--- (Room 220),MDR--09--- (Room A-1),MEN--09--- (Room A-3),MSC--09--- (Room 211),MPHE-09B-- (Room Gym),MSS--09--- (Room 121),MSP--09--- (Room 207B),MADW-09--- (Room 101)
1801,MEN--09--- (Room A-6),MMA--09--- (Room 210),MPHE-09G-- (Room Gym),MSS--09--- (Room 121),MSP--09--- (Room 205A),unassigned,XBA--09G-- (Room 119),MSC--09--- (Room 226)
1802,XBA--09C-L (Room 119),MSC--09--- (Room 227),MVA--09--- (Room 116),MEN--09--- (Room 222),MMA--09--- (Room 210),MFR--09--- (Room 207B),MSS--09--- (Room 122),XBA--09C-L (Room 119)
1803,XLDCB09LS- (Room 108),MPHE-09Y-- (Room Gym),MDNC-09F-- (Room Studio),MADER09--- (Room 104),MSC--09--- (Room 211),MSS--09--- (Room 107),MPHE-09G-- (Room Gym),MEN--09--- (Room 205B)
1804,MEN--09--- (Room A-6),MMA--09--- (Room 210),MDNC-09F-- (Room Studio),MDNC-09H-- (Room Studio),MVA--09--- (Room 116),MPHE-09--- (Room Gym),MSS--09--- (Room 122),MSC--09--- (Room 216)
1805,XLDCB09LS- (Room 108),unassigned,MEN--09--- (Room A-3),MDNC-09H-- (Room Studio),MADD-09--- (Room 105),MSS--09--- (Room 107),MPHE-09G-- (Room Gym),MSC--09--- (Room 226)
1806,XLDCB09LS- (Room 109),unassigned,unassigned,MEN--09--- (Room 107),MSC--09--- (Room 211),MSS--09--- (Room 222),MWBDV10IT- (Room 203),MPHE-09B-- (Room Gym)
1807,MFR--11--- (Room A-3),MADD-09--- (Room 105),MEN--09--- (Room A-3),MVA--09--- (Room 116),MMA--09--- (Room 210),MSS--09--- (Room 123),MWBDV10IT- (Room 203),MSC--09--- (Room 216)
1808,XBA--09C-L (Room 119),MSC--09C-- (Room 226),MSS--09C-- (Room 121),MADER09--- (Room 104),MADEM10--- (Room 208),MEN--09C-- (Room A-6),MWBDV10IT- (Room 203),XBA--09C-L (Room 119)
1809,XBA--09C-L (Room 119),MSC--09--- (Room 227),MEN--09--- (Room A-3),MDNC-09H-- (Room Studio),MADEM10--- (Room 208),MSS--09--- (Room 222),MFR--11--- (Room 107),XBA--09C-L (Room 119)
1810,MMA--09--- (Room 220),MADD-09--- (Room 105),MPHE-09G-- (Room Gym),MSS--09--- (Room 121),MSC--09--- (Room 211),MADGE09--- (Room 105),MFR--09--- (Room A-2),MEN--09--- (Room 205B)
1811,MADGE09--- (Room 105),MMA--09--- (Room 106),MPHE-09G-- (Room Gym),MEN--09--- (Room 107),MADEM10--- (Room 208),MSS--09--- (Room 121),MFR--11--- (Room 107),MADW-09--- (Room 101)
1812,MMA--09--- (Room 220),MSC--09--- (Room 227),MEN--09E-- (Room 107),MSS--09--- (Room 121),MADEM10--- (Room 208),MPHE-09B-- (Room Gym),MWBDV10IT- (Room 203),MADW-09--- (Room 101)
1813,MWBDV10IT- (Room 114),MADD-09--- (Room 105),MMA--09H-- (Room 106),MEN--09--- (Room 222),MPHE-09B-- (Room Gym),MSS--09--- (Room 121),MFR--11--- (Room 107),MSC--09--- (Room 219)
1814,MADGE09--- (Room 105),MSC--09C-- (Room 226),MPHE-09--- (Room Gym),MADD-09--- (Room 105),MSS--09C-- (Room 209),MEN--09C-- (Room A-6),MWBDV10IT- (Room 203),MMA--09C-- (Room 212)
1815,MMA--09--- (Room 220),MADGE09--- (Room 104),MPHE-09G-- (Room Gym),MEN--09--- (Room A-2),MVA--09--- (Room 116),MSS--09--- (Room 121),MSP--09--- (Room 207B),MSC--09--- (Room 216)
1816,MADT-09--- (Room A-7),unassigned,MPHE-09G-- (Room Gym),MSC--09--- (Room 211),MVA--09--- (Room 116),MSS--09--- (Room 123),MADW-09--- (Room 101),MEN--09--- (Room 205B)
1817,MADGE09--- (Room 105),MMA--09--- (Room 210),MEN--09--- (Room A-3),YHRA-0AX-- (Room 120),MSC--09--- (Room 211),MSS--09--- (Room 121),MSP--09--- (Room 207B),MPHE-09FB- (Room Gym)
1818,MADT-09--- (Room A-7),MDR--09--- (Room A-1),MVA--09--- (Room 116),MSS--09--- (Room 121),MSC--09--- (Room 211),MFR--09--- (Room 207B),MPHE-09G-- (Room Gym),MEN--09--- (Room 205B)
1819,MADGE09--- (Room 105),MMA--09--- (Room 210),MEN--09--- (Room A-3),YHRA-0AX-- (Room 120),MSC--09--- (Room 211),MFR--09--- (Room 207B),MSS--09--- (Room 205B),MPHE-09FB- (Room Gym)
1820,MFR--09--- (Room 208),MMA--09--- (Room 210),MADD-09--- (Room 105),MEN--09--- (Room A-2),MPHE-09B-- (Room Gym),MADGE09--- (Room 105),MSS--09--- (Room 205B),MSC--09--- (Room 226)
1821,XLDCB09LS- (Room 109),MMA--09--- (Room 210),MEN--09--- (Room A-3),MADER09--- (Room 104),MPHE-09B-- (Room Gym),MSS--09--- (Room 121),MADW-09--- (Room 101),MSC--09--- (Room 226)
1822,MMA--09--- (Room 220),MADD-09--- (Room 105),XLDCB09M-- (Room 103),MEN--09--- (Room A-2),MSC--09--- (Room 211),MFR--09--- (Room 207B),MSS--09--- (Room 205B),MPHE-09B-- (Room Gym)
1823,XBA--09C-L (Room 119),MSC--09--- (Room 227),MEN--09--- (Room A-3),MSS--09--- (Room 121),MMA--09--- (Room 210),MADT-09--- (Room A-7),MSP--09--- (Room 207B),XBA--09C-L (Room 119)
1824,MPHE-09--L (Room Gym),MMA--09--- (Room 106),MVA--09--- (Room 116),MSC--09--- (Room 211),MPHE-09--L (Room Gym),MSS--09--- (Room 107),XBA--09G-- (Room 119),MEN--09--- (Room 205B)
1825,MMA--09--- (Room 220),XLDCB09LSL (Room 109),unassigned,MEN--09--- (Room 107),MADEM10--- (Room 208),MSS--09--- (Room 123),MFR--11--- (Room 107),XLDCB09LSL (Room 109)
