,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
211,SCIENCE 10 (23 students),ANATOMY AND PHYSIOLOGY 12 (22 students),CHEMISTRY 11 (16 students),SCIENCE 9 (24 students),SCIENCE 9 (24 students),PHYSICS 11 (23 students),SCIENCE 10: CHALLENGE (24 students),SCIENCE 9: CHALLENGE (12 students)
212,PRE-CALCULUS 12 (28 students),PRE-CALCULUS 12 HONOURS (24 students),,AP STATISTICS 12 (28 students),CALCULUS 12 (26 students),,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (29 students),MATHEMATICS 9 CHALLENGE (18 students)
214,PRE-CALCULUS 11 (30 students),WORKPLACE MATHEMATICS 11 (20 students),,WORKPLACE MATHEMATICS 10 (19 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (25 students),,PRE-CALCULUS 11 (19 students),PRE-CALCULUS 12 (18 students)
216,CHEMISTRY 12 (24 students),CHEMISTRY 12 (24 students),LIFE SCIENCES 11 (24 students),ANATOMY AND PHYSIOLOGY 12 (21 students),SCIENCE 10: CHALLENGE (21 students),PHYSICS 11 (20 students),SCIENCE 10 (24 students),SCIENCE 9 (24 students)
219,LIFE SCIENCES 11 (19 students),CHEMISTRY 12 (20 students),,PHYSICS 11 (24 students),SCIENCE 10 (23 students),CHEMISTRY 11 (20 students),PHYSICS 12 (23 students),SCIENCE 9 (24 students)
220,MATHEMATICS 9 (30 students),PRE-CALCULUS 11 (29 students),,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (14 students),FOUNDATIONS OF MATHEMATICS 11 (30 students),,PRE-CALCULUS 11 (22 students),PRE-CALCULUS 12 (23 students)
221,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (30 students),,,,CALCULUS 12 (29 students),PRE-CALCULUS 12 (27 students),PRE-CALCULUS 11 HONOURS (30 students),AP CALCULUS AB 12 external credential (25 students)
222,"ECONOMICS 12 (19 students)
E-COMMERCE 12 (3 students)",SOCIAL STUDIES 10 (28 students),EXPLORATIONS IN SOCIAL STUDIES 11 (23 students),ENGLISH LANGUAGE ARTS 9 (18 students),CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (25 students),SOCIAL STUDIES 9 (22 students),PSYCHOLOGY 11 (30 students),LAW STUDIES 12 (27 students)
223,,CHEMISTRY 12 (18 students),PHYSICS 12 (24 students),PHYSICS 11 (19 students),CHEMISTRY 11 (19 students),,ANATOMY AND PHYSIOLOGY 12 (23 students),SCIENCE 10 (23 students)
225,,CHEMISTRY 12 (16 students),CHEMISTRY 11 (21 students),ANATOMY AND PHYSIOLOGY 12 (22 students),SCIENCE 10 (22 students),PHYSICS 11 (24 students),CHEMISTRY 12 (24 students),PHYSICS 12 (22 students)
