Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1624,PHYSICAL AND HEALTH EDUCATION 10 Football (Room Gym),SOCIAL STUDIES 10 (Room 121),ADST – POWER TECHNOLOGY 10 (Room 103),WORKPLACE MATHEMATICS 10 (Room 214),SCIENCE 10 (Room 227),VISUAL ARTS: PHOTOGRAPHY 10 (Room 113),ADST – FOOD STUDIES 10 (Room 206),EFP WRITING 10 (Room A-6)
1625,FRENCH 10 (Room 208),COMPUTER SCIENCE 11 (Room 203),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym),SOCIAL STUDIES 10 (Room 208),SCIENCE 10 (Room 219),COMPOSITION 10 (Room A-3),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 210),MARKETING AND PROMOTION 11 (Room A-2)
1626,ADST-Technology Explorations 10 (Room 105),ADST – DRAFTING 10 (Room 105),COMPOSITION 10 (Room 207B),SOCIAL STUDIES 10 (Room 207A),SCIENCE 10 (Room 219),LEARNING STRATEGIES 10 (Room 109),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 210),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym)
1627,ADST – FOOD STUDIES 10 (Room 206),SOCIAL STUDIES 10 (Room 222),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym),ADST – ELECTRONICS AND ROBOTICS 10 (Room 104),SCIENCE 10 (Room 227),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (Room 210),FRENCH 10 (Room A-2),EFP WRITING 10 (Room A-6)
1628,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 221),SOCIAL STUDIES 10 (Room 205B),Information and Communications Technologies 10 (Room 114),EFP WRITING 10 (Room 123),INTRODUCTORY SPANISH 11 (Room 205A),VISUAL ARTS: PHOTOGRAPHY 10 (Room 113),SCIENCE 10 (Room 216),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym)
1629,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (Room 210),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym),ADST – POWER TECHNOLOGY 10 (Room 103),COMPOSITION 10 Challenge (Room A-3),SCIENCE 10: CHALLENGE (Room 216),SOCIAL STUDIES 10 CHALLENGE (Room 208),Information and Communications Technologies 10 (Room 203),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym)
1630,TEXTILES 10 (Room A-7),SOCIAL STUDIES 10 (Room 121),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym),VISUAL ARTS: ART STUDIO 10 (Room 116),INSTRUMENTAL MUSIC: GUITAR 10 (Room 119),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (Room 210),SCIENCE 10 (Room 216),EFP WRITING 10 (Room A-6)
1631,SCIENCE 10 (Room 211),BEGINNERS ELL 10 (Room A-3),ADST-Technology Explorations 10 (Room 104),SOCIAL STUDIES 10 (Room 122),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym),COMPOSITION 10 (Room A-3),ADST – FOOD STUDIES 10 (Room 206),unassigned
1632,SPANISH 10 (Room 123),SOCIAL STUDIES 10 (Room 222),ADST – POWER TECHNOLOGY 10 (Room 103),WORKPLACE MATHEMATICS 10 (Room 214),SCIENCE 10 (Room 219),ADST – FOOD STUDIES 10 (Room 206),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym),EFP WRITING 10 (Room 205A)
1633,ACCOUNTING 11 (Room 205A),SOCIAL STUDIES 10 (Room 121),Information and Communications Technologies 10 (Room 114),ADST – DRAFTING 10 (Room 105),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 214),COMPOSITION 10 (Room A-3),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym),SCIENCE 10 (Room 223)
