Group / Section Info,Room-Sharing Groups,Sections
sim_98 (BLOCK 1) (ROOM NO ROOM FOUND) (16 STUDENTS) (1 SECTIONS),"3 groups: sim_190, sim_195, sim_259",CHEMISTRY 12 (MCH--12---_5)
sim_190 (BLOCK 1) (ROOM NO ROOM FOUND) (30 STUDENTS) (1 SECTIONS),"3 groups: sim_98, sim_195, sim_259",INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear (MMUCB10--L_1)
sim_195 (BLOCK 1) (ROOM NO ROOM FOUND) (17 STUDENTS) (1 SECTIONS),"3 groups: sim_98, sim_190, sim_259",PHYSICS 11 (MPH--11---_4)
sim_259 (BLOCK 1) (ROOM NO ROOM FOUND) (30 STUDENTS) (1 SECTIONS),"3 groups: sim_98, sim_190, sim_195",CONCERT BAND 9 Linear (XBA--09C-L_1)
sim_28 (BLOCK 1) (ROOM Studio) (17 STUDENTS) (2 SECTIONS),0 groups:,"DANCE TECHNIQUE AND PERFORMANCE 11 (MDNTP11---_1), DANCE TECHNIQUE AND PERFORMANCE 12 (MDNTP12---_1)"
sim_8 (BLOCK 2) (ROOM 105) (30 STUDENTS) (4 SECTIONS),0 groups:,"ADST - Drafting 9 (MADD-09---_3), ADST – DRAFTING 10 (MTDRF10---_3), DRAFTING 11 (MTDRF11---_3), DRAFTING 12 (MTDRF12---_3)"
sim_206 (BLOCK 2) (ROOM 106) (26 STUDENTS) (1 SECTIONS),0 groups:,PRE-CALCULUS 11 (MPREC11---_2)
sim_141 (BLOCK 2) (ROOM 107) (30 STUDENTS) (1 SECTIONS),0 groups:,ENGLISH STUDIES 12 (MENST12---_2)
sim_285 (BLOCK 2) (ROOM 108) (10 STUDENTS) (1 SECTIONS),"6 groups: sim_294, sim_296, sim_298, sim_301, sim_308, sim_319",LEARNING STRATEGIES 10 (YED--0AX--_8)
sim_294 (BLOCK 2) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"6 groups: sim_285, sim_296, sim_298, sim_301, sim_308, sim_319",LEARNING STRATEGIES 10 (YED--0AX--_17)
sim_296 (BLOCK 2) (ROOM 108) (3 STUDENTS) (1 SECTIONS),"6 groups: sim_285, sim_294, sim_298, sim_301, sim_308, sim_319",LEARNING STRATEGIES 10 LINEAR (YED--0AX-L_2)
sim_298 (BLOCK 2) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"6 groups: sim_285, sim_294, sim_296, sim_301, sim_308, sim_319",LEARNING STRATEGIES 10 LINEAR (YED--0AX-L_4)
sim_301 (BLOCK 2) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"6 groups: sim_285, sim_294, sim_296, sim_298, sim_308, sim_319",LEARNING STRATEGIES 11 (YED--1DX--_2)
sim_308 (BLOCK 2) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"6 groups: sim_285, sim_294, sim_296, sim_298, sim_301, sim_319",LEARNING STRATEGIES 11 (YED--1DX--_9)
sim_319 (BLOCK 2) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"6 groups: sim_285, sim_294, sim_296, sim_298, sim_301, sim_308",LEARNING STRATEGIES 11 LINEAR (YED--1DX-L_2)
sim_297 (BLOCK 2) (ROOM 109) (0 STUDENTS) (1 SECTIONS),"2 groups: sim_299, sim_312",LEARNING STRATEGIES 10 LINEAR (YED--0AX-L_3)
sim_299 (BLOCK 2) (ROOM 109) (0 STUDENTS) (1 SECTIONS),"2 groups: sim_297, sim_312",LEARNING STRATEGIES 10 LINEAR (YED--0AX-L_5)
sim_312 (BLOCK 2) (ROOM 109) (0 STUDENTS) (1 SECTIONS),"2 groups: sim_297, sim_299",LEARNING STRATEGIES 11 (YED--1DX--_13)
sim_69 (BLOCK 2) (ROOM 113) (30 STUDENTS) (3 SECTIONS),0 groups:,"VISUAL ARTS: PHOTOGRAPHY 10 (MVAPH10---_2), PHOTOGRAPHY 11 (MVAPH11---_2), PHOTOGRAPHY 12 (MVAPH12---_2)"
sim_46 (BLOCK 2) (ROOM 114) (24 STUDENTS) (3 SECTIONS),0 groups:,"ADST – MEDIA DESIGN 10 (MMEDD10---_2), MEDIA DESIGN 11 (MMEDD11---_2), MEDIA DESIGN 12 (MMEDD12---_2)"
sim_147 (BLOCK 2) (ROOM 121) (29 STUDENTS) (1 SECTIONS),0 groups:,EXPLORATIONS IN SOCIAL STUDIES 11 (MEPSS11---_1)
sim_138 (BLOCK 2) (ROOM 122) (30 STUDENTS) (1 SECTIONS),0 groups:,ENGLISH FIRST PEOPLES 12 (MENFP12---_3)
sim_113 (BLOCK 2) (ROOM 123) (15 STUDENTS) (1 SECTIONS),0 groups:,COMPOSITION 11 (MCMPS11---_2)
sim_150 (BLOCK 2) (ROOM 205A) (14 STUDENTS) (1 SECTIONS),0 groups:,ENVIRONMENTAL SCIENCE 11 (MEVSC11---_1)
sim_239 (BLOCK 2) (ROOM 205B) (0 STUDENTS) (1 SECTIONS),0 groups:,SOCIAL STUDIES 9 CHALLENGE (MSS--09C--_2)
sim_209 (BLOCK 2) (ROOM 207A) (27 STUDENTS) (1 SECTIONS),0 groups:,PRE-CALCULUS 11 (MPREC11---_5)
sim_248 (BLOCK 2) (ROOM 207B) (16 STUDENTS) (1 SECTIONS),0 groups:,SOCIAL STUDIES 10 CHALLENGE (MSS--10C--_1)
sim_183 (BLOCK 2) (ROOM 208) (30 STUDENTS) (1 SECTIONS),0 groups:,MATHEMATICS 9 (MMA--09---_1)
sim_112 (BLOCK 2) (ROOM 209) (15 STUDENTS) (1 SECTIONS),0 groups:,COMPOSITION 11 (MCMPS11---_1)
sim_159 (BLOCK 2) (ROOM 210) (17 STUDENTS) (1 SECTIONS),0 groups:,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (MFMP-10C--_2)
sim_226 (BLOCK 2) (ROOM 211) (19 STUDENTS) (1 SECTIONS),0 groups:,SCIENCE 9: CHALLENGE (MSC--09C--_2)
sim_184 (BLOCK 2) (ROOM 212) (30 STUDENTS) (1 SECTIONS),0 groups:,MATHEMATICS 9 (MMA--09---_2)
sim_207 (BLOCK 2) (ROOM 214) (26 STUDENTS) (1 SECTIONS),0 groups:,PRE-CALCULUS 11 (MPREC11---_3)
sim_225 (BLOCK 2) (ROOM 216) (12 STUDENTS) (1 SECTIONS),0 groups:,SCIENCE 9: CHALLENGE (MSC--09C--_1)
sim_193 (BLOCK 2) (ROOM 219) (24 STUDENTS) (1 SECTIONS),0 groups:,PHYSICS 11 (MPH--11---_2)
sim_257 (BLOCK 2) (ROOM 220) (19 STUDENTS) (1 SECTIONS),0 groups:,WORKPLACE MATHEMATICS 11 (MWPM-11---_1)
sim_160 (BLOCK 2) (ROOM 221) (30 STUDENTS) (1 SECTIONS),0 groups:,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (MFMP-10H--_1)
sim_205 (BLOCK 2) (ROOM 222) (15 STUDENTS) (1 SECTIONS),0 groups:,PRE-CALCULUS 11 (MPREC11---_1)
