Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1080,unassigned,unassigned,MCH--12---,MCLC-12--L,ACAL-12---,MTROB12--L,APHM-12---,MFR--12---
1081,unassigned,unassigned,MCH--12---,MENST12---,unassigned,unassigned,unassigned,MFR--12---
1082,unassigned,unassigned,MATPH12---,MENST12---,unassigned,unassigned,unassigned,MPREC12---
1083,unassigned,MLFSC11---,MDMD-12D--,MACLV12---,MENFP12---,unassigned,MFOM-11---,unassigned
1084,MPH--12---,MMACS11---,MCH--12---,MCLC-12--L,ACAL-12---,YCPA-2AXE-,MENST12---,YED--2DX-L
1085,unassigned,unassigned,MCH--12---,MCLC-12--L,MENST12---,MFOM-11---,MATPH12---,MTDRF12---
1086,MPH--12---,YED--2CX--,MCH--12---,MCLC-12--L,MENST12---,MACLV12---,MATPH12---,MPREC12---
1087,unassigned,MFOOD12---,MVAPH12---,MENST12---,unassigned,MCLC-12---,MFOM-11---,unassigned
1088,MFOOD12---,YED--2CX--,MVAPH11---,MCLC-12--L,MENFP12---,unassigned,MLST-12---,unassigned
1089,unassigned,MBSP-11---,MATPH12---,ACSC-2A---,MENFP12---,MCMCC12--L,MLST-12---,MPREC12---
1090,unassigned,unassigned,MATPH12---,MENST12---,unassigned,MCLC-12---,MCH--12---,MPREC12---
1091,MACC-12---,MEC--12---,ASTA-12---,MCLC-12--L,ACAL-12---,unassigned,MENST12---,MPREC12---
1092,MEC--12---,MMACS11---,MATPH12---,MCLC-12--L,MCALC12---,unassigned,APHM-12---,unassigned
1093,unassigned,MDRM-12---,unassigned,MACLV12---,MENFP12---,MFOOD12---,MFOM-11---,MTDRF12---
1094,MEC--12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,YCPA-2AXE-,MATPH12---,MTDRF12---
1095,MECOM12---,PBB--2H,unassigned,MCLC-12--L,YESFL1CX--,MACLV12---,unassigned,MPREC12---
1096,MTXT-12---,MFOOD12---,unassigned,MCLC-12--L,MEVSC12C--,MFOM-11---,MENST12---,unassigned
1097,unassigned,MFOOD12---,MVAPH11---,MCLC-12--L,MENST12---,unassigned,MATPH12---,MPREC12---
1098,MLST-12---,unassigned,ASTA-12---,MCLC-12--L,MENST12---,unassigned,MCALC12---,MPREC12---
1099,MEC--12---,MCH--11---,MCH--12---,MCLC-12--L,MENFP12---,unassigned,MCALC12---,unassigned
1100,MPH--12---,unassigned,MCH--12---,MCLC-12--L,unassigned,MPH--11---,MCALC12---,MPREC12---
1101,unassigned,MEC--12---,MATPH12---,MCLC-12--L,MCALC12---,unassigned,APHM-12---,unassigned
1102,MTXT-12---,unassigned,MATPH12---,MCLC-12--L,MIMCB12--L,MVAST12---,MENST12---,MIMJB12--L
1103,MPH--12---,unassigned,MATPH12---,MCLC-12--L,unassigned,unassigned,MCALC12---,MPREC12---
1104,MFOOD12---,unassigned,MCH--12---,MCLC-12--L,MENFP12---,MPH--11---,MATPH12---,MPREC12---
1105,MPH--12---,MFOOD12---,MCH--12---,MCLC-12--L,MENST12---,YCPA-2AX-L,MCALC12---,YED--2DX-L
1106,MVAST12---,MFOOD12---,MLFSC11---,MCLC-12--L,MENST12---,MFOM-11---,MATPH12---,MSP--12---
1107,unassigned,unassigned,MATPH12---,MCLC-12--L,ACAL-12---,unassigned,APHM-12---,YED--2DX-L
1108,MVAST12---,unassigned,MDMD-12D--,MCLC-12--L,MEVSC12C--,unassigned,MINST12---,MPREC12---
1109,MFOOD12---,unassigned,unassigned,MCLC-12--L,MENFP12---,MACC-12---,MFOM-11---,unassigned
1110,unassigned,unassigned,MVAPH11---,MENST12---,unassigned,unassigned,MWH--12---,MFR--12---
1111,MACC-12---,YED--2CX--,unassigned,MCLC-12--L,MENT-12---,MFOOD12---,MENST12---,MPREC12---
1112,MLST-12---,MFOOD12---,unassigned,MCLC-12--L,YESFL1CX--,MFOM-11---,MEPSS11---,MSP--11---
1113,MLST-12---,unassigned,MATPH12---,MCLC-12--L,MENFP12---,unassigned,MCH--12---,MPREC12---
1114,AELC-12---,MEC--12---,MATPH12---,MCLC-12--L,MPREC12H--,YCPA-2AX-L,MCALC12---,YED--2FX-L
1115,MEC--12---,MECOM12---,YPSYC1AX--,MCLC-12--L,MENST12---,unassigned,MCALC12---,MPREC12---
1116,MDNTP12---,unassigned,MDNC-12--L,MCLC-12--L,MENST12---,unassigned,MCMCL12---,MFR--12---
