Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
LAW STUDIES 12 (Room 121) (29 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 106) (23 students),ENGINEERING 12 (Room 105) (5 students),ENGLISH FIRST PEOPLES 12 Year (Room A-6) (1 students),INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR (Room 119) (9 students),ADST – FOOD STUDIES 10 (Room 206) (30 students),FRENCH 9 (Room 207B) (10 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (Room 220) (30 students)
COMPUTER SCIENCE 11 (Room 203) (15 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (Room 122) (24 students),ENGINEERING 12 (Room 104) (9 students),ENGINEERING 11 (Room 105) (2 students),CONTEMPORARY INDIGENOUS STUDIES 12 (Room 208) (20 students),CONTEMPORARY INDIGENOUS STUDIES 12 (Room 121) (14 students),FRENCH 10 (Room 207B) (5 students),FOOD STUDIES 11 (Room 206) (18 students)
COMPUTER SCIENCE 12 (Room 203) (9 students),FOOD STUDIES 11 (Room 206) (5 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 106) (27 students),ENGINEERING 12 (Room 105) (1 students),LIFE SCIENCES 11 (Room 226) (19 students),CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (Room 123) (24 students),FRENCH 11 (Room A-2) (16 students),FOOD STUDIES 12 (Room 206) (12 students)
PHYSICS 11 (Room 216) (24 students),FOOD STUDIES 12 (Room 206) (25 students),FOOD STUDIES 11 (Room 206) (12 students),ENGLISH STUDIES 12 (Room A-3) (17 students),LIFE SCIENCES 11 (Room 225) (19 students),LIFE SCIENCES 11 (Room 225) (22 students),FRENCH 12 (Room A-2) (6 students),INSTRUMENTAL MUSIC 12: GUITAR (Room 119) (9 students)
PHYSICAL AND HEALTH EDUCATION 9 (Room Gym) (14 students),INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR (Room 119) (4 students),FOOD STUDIES 12 (Room 206) (18 students),ENTREPRENEURSHIP 12 (Room A-2) (7 students),LIFE SCIENCES 11 (Room 223) (22 students),LITERARY STUDIES 12 (Room 207A) (22 students),COMPUTER SCIENCE 11 (Room 203) (14 students),CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (Room 123) (19 students)
PHYSICAL AND HEALTH EDUCATION 9 (Room Gym) (16 students),INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR (Room 119) (9 students),FRENCH 11 (Room 107) (18 students),FOUNDATIONS OF MATHEMATICS 11 (Room 212) (26 students),LAW STUDIES 12 (Room 123) (29 students),ADST – MEDIA DESIGN 10 (Room 114) (7 students),COMPUTER SCIENCE 12 (Room 203) (7 students),MATHEMATICS 9 (Room 221) (28 students)
PHYSICAL AND HEALTH EDUCATION 9 Boys (Room Gym) (13 students),LIFE SCIENCES 11 (Room 216) (23 students),FRENCH 12 (Room 107) (11 students),LAW STUDIES 12 (Room 222) (25 students),LAW STUDIES 12 (Room 121) (30 students),MEDIA DESIGN 11 (Room 114) (8 students),PRE-CALCULUS 11 (Room 212) (27 students),MATHEMATICS 9 HONOURS (Room 212) (21 students)
PHYSICAL AND HEALTH EDUCATION 9 Boys (Room Gym) (6 students),LITERARY STUDIES 11 Challenge (Room 205B) (16 students),COMPUTER SCIENCE 11 (Room 203) (22 students),MATHEMATICS 9 CHALLENGE (Room 220) (28 students),LITERARY STUDIES 11 Challenge (Room A-7) (25 students),MEDIA DESIGN 12 (Room 114) (3 students),PRE-CALCULUS 12 (Room 221) (30 students),ADST – MEDIA DESIGN 10 (Room 114) (8 students)
PHYSICAL AND HEALTH EDUCATION 9 Girls (Room Gym) (6 students),MATHEMATICS 9 (Room 212) (19 students),COMPUTER SCIENCE 12 (Room 203) (2 students),MARKETING AND PROMOTION 11 (Room A-2) (23 students),MATHEMATICS 9 CHALLENGE (Room 106) (16 students),INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear (Room 119) (29 students),SCIENCE 9 (Room 225) (24 students),MEDIA DESIGN 11 (Room 114) (8 students)
PHYSICAL AND HEALTH EDUCATION 10 (Room Gym) (9 students),MATHEMATICS 9 (Room 214) (24 students),INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear (Room 119) (29 students),PHYSICS 11 (Room 216) (24 students),PHYSICS 11 (Room 227) (24 students),PHYSICAL GEOGRAPHY 12 (Room 207B) (19 students),SCIENCE 9 (Room 223) (24 students),MEDIA DESIGN 12 (Room 114) (5 students)
PHYSICAL AND HEALTH EDUCATION 10 (Room Gym) (11 students),MATHEMATICS 9 (Room 210) (26 students),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym) (30 students),PHYSICS 12 (Room 227) (13 students),PHYSICAL AND HEALTH EDUCATION 9 Linear (Room Gym) (16 students),PHYSICS 12 (Room 216) (22 students),SCIENCE 9 (Room 216) (22 students),PHYSICS 12 (Room 219) (24 students)
PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym) (17 students),OUTDOOR EDUCATION 11 (Room _CHECK THIS THING IDK) (9 students),PRE-CALCULUS 11 (Room 221) (20 students),PHYSICS 12 (Room 225) (20 students),VISUAL ARTS: PHOTOGRAPHY 10 (Room 113) (17 students),PHYSICAL AND HEALTH EDUCATION 9 (Room Gym) (12 students),SOCIAL STUDIES 10 (Room 121) (16 students),PRE-CALCULUS 11 HONOURS (Room 210) (23 students)
PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym) (24 students),OUTDOOR EDUCATION 12 (Room _CHECK THIS THING IDK) (15 students),PRE-CALCULUS 11 (Room 210) (26 students),PHYSICAL AND HEALTH EDUCATION 9 Yoga for Mindfulns (Room Gym) (8 students),PHOTOGRAPHY 11 (Room 113) (11 students),PHYSICAL AND HEALTH EDUCATION 9 Linear (Room Gym) (15 students),SOCIAL STUDIES 10 (Room 222) (26 students),PRE-CALCULUS 12 (Room 214) (17 students)
PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym) (24 students),PHYSICS 11 (Room 219) (12 students),SCIENCE 9 (Room 227) (12 students),PRE-CALCULUS 11 (Room 214) (29 students),PHOTOGRAPHY 12 (Room 113) (2 students),PHYSICAL AND HEALTH EDUCATION 9 Girls (Room Gym) (17 students),AUTOMOTIVE TECHNOLOGY 11 (Room 102) (9 students),SCIENCE 9 (Room 227) (23 students)
PRE-CALCULUS 12 HONOURS (Room 210) (26 students),PHYSICS 11 (Room 225) (13 students),SOCIAL STUDIES 9 (Room 123) (15 students),PRE-CALCULUS 12 (Room 106) (15 students),Information and Communications Technologies 10 (Room 203) (24 students),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym) (17 students),AUTOMOTIVE TECHNOLOGY 12 (Room 102) (11 students),SCIENCE 9: CHALLENGE (Room 211) (24 students)
SCIENCE 9: CHALLENGE (Room 211) (13 students),PHYSICS 11 (Room 223) (22 students),SOCIAL STUDIES 9 (Room 207A) (15 students),PRE-CALCULUS 12 (Room 210) (23 students),Information and Communications Technologies 10 (Room 114) (24 students),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym) (30 students),ADST – DRAFTING 10 (Room 105) (4 students),SOCIAL JUSTICE 12 (Room A-3) (30 students)
SCIENCE 10: CHALLENGE (Room 227) (18 students),PHYSICAL AND HEALTH EDUCATION 9 Linear (Room Gym) (15 students),SOCIAL STUDIES 9 (Room 205B) (12 students),SPANISH 10 (Room 207A) (18 students),LEARNING STRATEGIES 9 LD (Room 108) (9 students),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym) (12 students),DRAFTING 11 (Room 105) (3 students),SPANISH 11 (Room 207B) (18 students)
SPANISH 9 (Room 122) (7 students),PHYSICAL AND HEALTH EDUCATION 9 Linear (Room Gym) (16 students),SOCIAL STUDIES 9 (Room 121) (15 students),SPANISH 11 (Room 207A) (7 students),E-COMMERCE 12 (Room 107) (6 students),PRE-CALCULUS 11 (Room 214) (19 students),DRAFTING 12 (Room 105) (7 students),SPANISH 12 (Room 207B) (10 students)
SPANISH 9 (Room 207B) (14 students),PHYSICAL AND HEALTH EDUCATION 9 Boys (Room Gym) (9 students),ADST-Technology Explorations 10 (Room 105) (7 students),SPANISH 12 (Room 207A) (5 students),PHYSICAL AND HEALTH EDUCATION 9 Football (Room Gym) (5 students),PRE-CALCULUS 12 (Room 212) (26 students),ADST – ELECTRONICS AND ROBOTICS 10 (Room 104) (6 students),SOCIAL STUDIES 9 (Room 122) (28 students)
SOCIAL STUDIES 9 (Room 222) (24 students),PHYSICAL AND HEALTH EDUCATION 9 Boys (Room Gym) (8 students),ADST-Technology Explorations 10 (Room 104) (1 students),SPOKEN LANGUAGE 11 (Room 205B) (3 students),SCIENCE 10 (Room 211) (24 students),SCIENCE 9 (Room 223) (24 students),ADST – POWER TECHNOLOGY 10 (Room 103) (12 students),SOCIAL STUDIES 10 (Room 208) (17 students)
SOCIAL STUDIES 9 (Room 207A) (27 students),PHYSICAL AND HEALTH EDUCATION 9 Girls (Room Gym) (19 students),VISUAL ARTS 9 (Room 116) (12 students),SOCIAL STUDIES 10 CHALLENGE (Room 121) (30 students),SCIENCE 10 (Room 219) (24 students),SCIENCE 10: CHALLENGE (Room 219) (21 students),ROBOTICS 11 (Room 104) (3 students),SOCIAL STUDIES 10 (Room 107) (16 students)
SOCIAL STUDIES 9 CHALLENGE (Room 209) (19 students),PHYSICAL AND HEALTH EDUCATION 9 Girls (Room Gym) (13 students),VISUAL ARTS: PHOTOGRAPHY 10 (Room 113) (6 students),ADST-Technology Explorations 10 (Room 105) (8 students),SCIENCE 10 (Room 216) (24 students),SOCIAL JUSTICE 12 (Room 205B) (23 students),ROBOTICS 12 (Room 104) (5 students),SOCIAL STUDIES 10 (Room 121) (27 students)
SOCIAL STUDIES 10 CHALLENGE (Room 123) (6 students),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym) (6 students),PHOTOGRAPHY 11 (Room 113) (18 students),VISUAL ARTS 9 (Room 116) (17 students),,SOCIAL STUDIES 9 CHALLENGE (Room A-3) (19 students),TEXTILES 10 (Room A-7) (1 students),ADST – ELECTRONICS AND ROBOTICS 10 (Room 104) (3 students)
AUTOMOTIVE TECHNOLOGY 11 (Room 102) (9 students),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym) (9 students),PHOTOGRAPHY 12 (Room 113) (6 students),VISUAL ARTS: ART STUDIO 10 (Room 116) (9 students),,SOCIAL STUDIES 10 (Room 205A) (28 students),TEXTILES 11 (Room A-7) (7 students),ROBOTICS 11 (Room 104) (2 students)
AUTOMOTIVE TECHNOLOGY 12 (Room 102) (14 students),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym) (5 students),VISUAL ARTS: ART STUDIO 10 (Room 116) (4 students),ART STUDIO 11 (Room 116) (4 students),,ADST – DRAFTING 10 (Room 105) (10 students),TEXTILES 12 (Room A-7) (12 students),ROBOTICS 12 (Room 104) (1 students)
ADST – DRAFTING 10 (Room 105) (4 students),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym) (16 students),ART STUDIO 11 (Room 116) (4 students),ART STUDIO 12 (Room 116) (0 students),,DRAFTING 11 (Room 105) (3 students),20th CENTURY WORLD HISTORY 12 (Room 208) (30 students),TEXTILES 10 (Room A-7) (8 students)
DRAFTING 11 (Room 105) (10 students),PRE-CALCULUS 11 (Room 221) (24 students),ART STUDIO 12 (Room 116) (10 students),Information and Communications Technologies 10 (Room 114) (24 students),,DRAFTING 12 (Room 105) (2 students),WORKPLACE MATHEMATICS 10 (Room 220) (15 students),TEXTILES 11 (Room A-7) (9 students)
DRAFTING 12 (Room 105) (5 students),PRE-CALCULUS 12 (Room 220) (30 students),LEARNING STRATEGIES 11 (Room 109) (6 students),20th CENTURY WORLD HISTORY 12 (Room 205A) (20 students),,ADST-Technology Explorations 10 (Room 104) (3 students),ADST – WOODWORK 10 (Room 101) (1 students),TEXTILES 12 (Room A-7) (7 students)
TEXTILES 10 (Room A-7) (13 students),SOCIAL STUDIES 10 (Room 121) (15 students),LEARNING STRATEGIES 11 LINEAR (Room 109) (2 students),LEARNING STRATEGIES 9 LD (Room 109) (2 students),,ADST – POWER TECHNOLOGY 10 (Room 103) (22 students),WOODWORK 11 (Room 101) (7 students),LEARNING STRATEGIES 10 (Room 109) (2 students)
TEXTILES 11 (Room A-7) (5 students),SOCIAL STUDIES 10 (Room 205A) (15 students),LEARNING STRATEGIES 12 (Room 109) (6 students),LEARNING STRATEGIES 10 (Room 108) (5 students),,TEXTILES 10 (Room A-7) (8 students),WOODWORK 12 (Room 101) (5 students),LEARNING STRATEGIES 11 (Room 109) (3 students)
TEXTILES 12 (Room A-7) (7 students),AUTOMOTIVE TECHNOLOGY 11 (Room 102) (7 students),LEARNING STRATEGIES 12 (Room 108) (2 students),LEARNING STRATEGIES 10 (Room 109) (4 students),,TEXTILES 11 (Room A-7) (5 students),TECH ED 9: MECHANICS LD (Room 103) (16 students),LEARNING STRATEGIES 11 (Room 108) (2 students)
CONCERT BAND 9 - Guitar (Room 119) (16 students),AUTOMOTIVE TECHNOLOGY 12 (Room 102) (17 students),LEARNING STRATEGIES 12 (Room 108) (2 students),LEARNING STRATEGIES 10 (Room 108) (5 students),,TEXTILES 12 (Room A-7) (8 students),LEARNING STRATEGIES 11 LINEAR (Room 109) (2 students),ACTIVE LIVING 11 Football (Room Gym) (13 students)
LEARNING STRATEGIES 11 LINEAR (Room 109) (1 students),ADST – DRAFTING 10 (Room 105) (3 students),SCIENCE 10 (Room 225) (15 students),LEARNING STRATEGIES 10 LINEAR (Room 109) (3 students),,WORKPLACE MATHEMATICS 11 (Room 210) (17 students),INSTRUMENTAL MUSIC: GUITAR 10 (Room 119) (12 students),ACTIVE LIVING 11 Girls (Room Gym) (16 students)
LEARNING STRATEGIES 12 (Room 109) (4 students),DRAFTING 11 (Room 105) (0 students),SCIENCE 10 (Room 223) (19 students),LEARNING STRATEGIES 11 (Room 108) (1 students),,ADST – WOODWORK 10 (Room 101) (7 students),ENGINE AND DRIVETRAIN 12 (Room 102) (4 students),ACTIVE LIVING 12 Girls (Room Gym) (4 students)
PSYCHOLOGY 11 (Room A-2) (30 students),DRAFTING 12 (Room 105) (8 students),SCIENCE 10 (Room 219) (22 students),LEARNING STRATEGIES 12 (Room 108) (5 students),,WOODWORK 11 (Room 101) (2 students),,COMPUTER PROGRAMMING 11 AI and (Room 203) (23 students)
ENGINE AND DRIVETRAIN 12 (Room 102) (1 students),ADST-Technology Explorations 10 (Room 104) (1 students),BEGINNERS ELL 10 (Room 208) (10 students),ELL Academic Literacy 11 (Room 205B) (7 students),,WOODWORK 12 (Room 101) (4 students),,PHYSICAL AND HEALTH EDUCATION 10 Football (Room Gym) (12 students)
,VISUAL ARTS 9 (Room 116) (9 students),,CRIMINOLOGY 12 (Room 209) (30 students),,CONCERT BAND 9 Linear (Room 119) (20 students),,SCIENCE 10 (Room 225) (22 students)
,VISUAL ARTS: ART STUDIO 10 (Room 116) (4 students),,YOGA FOR MINDFULNESS 10 (Room Gym) (6 students),,TECH ED 9: MECHANICS LD (Room 103) (8 students),,
,ART STUDIO 11 (Room 116) (6 students),,YOGA FOR MINDFULNESS 11 (Room Gym) (11 students),,LEARNING STRATEGIES 10 LINEAR (Room 109) (3 students),,
,ART STUDIO 12 (Room 116) (11 students),,YOGA FOR MINDFULNESS 12 (Room Gym) (5 students),,LEARNING STRATEGIES 11 LINEAR (Room 109) (1 students),,
,Information and Communications Technologies 10 (Room 203) (22 students),,PSYCHOLOGY 11 (Room 207B) (28 students),,CRIMINOLOGY 12 (Room A-2) (20 students),,
,WORKPLACE MATHEMATICS 11 (Room A-2) (15 students),,COMPUTER PROGRAMMING 12 AI and (Room 203) (2 students),,CRIMINOLOGY 12 (Room 209) (30 students),,
,CONCERT BAND 9 Linear (Room 119) (20 students),,INSTRUMENTAL MUSIC 11: GUITAR (Room 119) (8 students),,PSYCHOLOGY 11 (Room 208) (24 students),,
,LEARNING STRATEGIES 12 (Room 109) (1 students),,,,E-COMMERCE 12 (Room 107) (3 students),,
,OUTDOOR EDUCATION 10 (Room _CHECK THIS THING IDK) (6 students),,,,,,
,ENGINE AND DRIVETRAIN 12 (Room 102) (0 students),,,,,,
,CROSS TRAINING 10 (Room 120) (5 students),,,,,,
,CROSS TRAINING 11 (Room 120) (7 students),,,,,,
,CROSS TRAINING 12 (Room 120) (9 students),,,,,,
