,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
119,INSTRUMENTAL MUSIC 12: GUITAR (13 students),INSTRUMENTAL MUSIC 11: GUITAR (10 students),"INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR (8 students)
INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR (7 students)","INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear (30 students)
CONCERT BAND 9 Linear (30 students)",CONCERT BAND 9 Linear (30 students),CONCERT BAND 9 - Guitar (15 students),INSTRUMENTAL MUSIC: GUITAR 10 (22 students),"INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR (8 students)
INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR (7 students)
INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear (30 students)"
120,,,,"CROSS TRAINING 10 (12 students)
CROSS TRAINING 11 (8 students)
CROSS TRAINING 12 (10 students)",,,,
121,"LAW STUDIES 12 (30 students)
SOCIAL STUDIES 10 (15 students)
SOCIAL STUDIES 10 (26 students)","SOCIAL STUDIES 9 (20 students)
SOCIAL STUDIES 9 (29 students)
20th CENTURY WORLD HISTORY 12 (29 students)","LAW STUDIES 12 (25 students)
SOCIAL STUDIES 9 (14 students)
SOCIAL STUDIES 10 (14 students)",,"SOCIAL STUDIES 9 (30 students)
SOCIAL STUDIES 10 (18 students)
SOCIAL STUDIES 10 (30 students)","EXPLORATIONS IN SOCIAL STUDIES 11 (16 students)
LAW STUDIES 12 (28 students)
SOCIAL STUDIES 10 CHALLENGE (15 students)","CONTEMPORARY INDIGENOUS STUDIES 12 (26 students)
CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (29 students)
20th CENTURY WORLD HISTORY 12 (30 students)","PHYSICAL GEOGRAPHY 12 (25 students)
SOCIAL JUSTICE 12 (25 students)
CRIMINOLOGY 12 (30 students)"
122,,EXPLORATIONS IN SOCIAL STUDIES 11 (30 students),COMPOSITION 10 (10 students),,COMPOSITION 11 (27 students),EFP WRITING 10 (15 students),ENGLISH LANGUAGE ARTS 9 (16 students),
123,,"ECONOMICS 12 (24 students)
E-COMMERCE 12 (6 students)",,,"INTRODUCTORY SPANISH 11 (3 students)
SPANISH 9 (27 students)",,,
201,,,,CAREER LIFE EDUCATION 10 (30 students),,CAREER LIFE EDUCATION 10 (25 students),CAREER LIFE EDUCATION 10 (30 students),
203,COMPUTER PROGRAMMING 11 AI and (24 students),COMPUTER PROGRAMMING 12 AI and (2 students),Information and Communications Technologies 10 (20 students),"COMPUTER SCIENCE 11 (18 students)
COMPUTER SCIENCE 12 (6 students)","AP COMPUTER SCIENCE A 12 (0 students)
COMPUTER SCIENCE 11 (21 students)
COMPUTER SCIENCE 12 (3 students)","COMPUTER SCIENCE 11 (14 students)
COMPUTER SCIENCE 12 (10 students)",Information and Communications Technologies 10 (24 students),
205A,,"SPANISH 10 (14 students)
SPANISH 11 (8 students)
SPANISH 12 (6 students)",SOCIAL STUDIES 10 CHALLENGE (30 students),PSYCHOLOGY 11 (30 students),,,,
205B,LAW STUDIES 12 (30 students),PSYCHOLOGY 11 (30 students),ADST – ENTREPRENEURSHIP AND MARKETING 10 (26 students),ADST – ENTREPRENEURSHIP AND MARKETING 10 (30 students),ENGLISH STUDIES 12 (28 students),"FRENCH 11 (26 students)
FRENCH 12 (4 students)",,COMPARATIVE CULTURES 12 (27 students)
206,,ADST – FOOD STUDIES 10 (30 students),,"ACCOUNTING 11 (22 students)
ACCOUNTING 12 (8 students)","FOOD STUDIES 11 (17 students)
FOOD STUDIES 11 (13 students)
FOOD STUDIES 11 (8 students)
FOOD STUDIES 12 (13 students)
FOOD STUDIES 12 (17 students)
FOOD STUDIES 12 (22 students)",ADST – FOOD STUDIES 10 (22 students),,"ACCOUNTING 11 (23 students)
ACCOUNTING 12 (7 students)
ADST – FOOD STUDIES 10 (30 students)
FOOD STUDIES 11 (11 students)
FOOD STUDIES 12 (19 students)"
207A,SOCIAL STUDIES 9 CHALLENGE (16 students),,COMPOSITION 11 (16 students),,COMPOSITION 11 (27 students),,,CONTEMPORARY INDIGENOUS STUDIES 12 (12 students)
207B,SOCIAL STUDIES 10 (15 students),SOCIAL JUSTICE 12 (30 students),LITERARY STUDIES 11 Challenge (25 students),,ENGLISH FIRST PEOPLES 12 (30 students),COMPOSITION 10 (16 students),,"FRENCH 9 (18 students)
FRENCH 10 (12 students)"
208,,"FRENCH 9 (15 students)
FRENCH 10 (12 students)",,,,CRIMINOLOGY 12 (28 students),ENGLISH LANGUAGE ARTS 9 (30 students),"SPANISH 11 (19 students)
SPANISH 12 (11 students)"
209,,SOCIAL STUDIES 9 (16 students),"FRENCH 11 (17 students)
FRENCH 12 (13 students)",,COMPOSITION 11 (17 students),"ECONOMICS 12 (23 students)
E-COMMERCE 12 (4 students)",LITERARY STUDIES 12 (25 students),
210,MATHEMATICS 9 (28 students),WORKPLACE MATHEMATICS 11 (17 students),PRE-CALCULUS 12 (24 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (30 students),CALCULUS 12 (30 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (22 students),MATHEMATICS 9 CHALLENGE (23 students),
211,,CHEMISTRY 12 (22 students),PHYSICS 11 (18 students),"PHYSICS 11 (22 students)
PHYSICS 11 (23 students)",SCIENCE 10: CHALLENGE (24 students),CHEMISTRY 11 (20 students),,ANATOMY AND PHYSIOLOGY 12 (24 students)
