Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1652,COMPOSITION 10 (Room 205A),unassigned,unassigned,SCIENCE 10 (Room 216),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room A-3),SOCIAL STUDIES 10 (Room 107),unassigned
1653,ACCOUNTING 11 (Room 208),FRENCH 12 (Room 107),PHYSICAL AND HEALTH EDUCATION (Room Gym),INDEPENDENT DIRECTED STUDIES 1 (Room 123),unassigned,SCIENCE 10 (Room 216),EFP WRITING 10 (Room A-6),unassigned
1654,ADST ?  FOOD STUDIES 10 (Room 206),unassigned,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 216),CAREER LIFE EDUCATION 10 (Room 207B),FOUNDATIONS OF MATH AND PRE-CA (Room A-3),EFP WRITING 10 (Room A-6),unassigned
1655,COMPOSITION 10 (Room 205A),ADST-Technology Explorations 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 216),Information and Communications (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room A-3),COMPUTER SCIENCE 11 (Room 203),unassigned
1656,COMPOSITION 10 (Room 205A),ADST-Technology Explorations 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 216),Information and Communications (Room 203),COMPUTER SCIENCE 11 (Room 203),SOCIAL STUDIES 10 (Room 107),unassigned
1657,SCIENCE 10: CHALLENGE (Room 226),DRAMA 10 (Room A-1),PHYSICAL AND HEALTH EDUCATION (Room Gym),INDEPENDENT DIRECTED STUDIES 1 (Room 123),COMPOSITION 10 Challenge (Room 123),unassigned,DANCE FOUNDATIONS 10 (Room Studio),unassigned
1658,COMPOSITION 10 (Room 205A),unassigned,FRENCH 10 (Room 122),SCIENCE 10 (Room 216),3D ANIMATION 12 (Room 114),FOUNDATIONS OF MATH AND PRE-CA (Room A-3),SOCIAL STUDIES 10 (Room 107),unassigned
1659,ACCOUNTING 11 (Room 208),unassigned,INTRODUCTORY SPANISH 11 (Room 123),SCIENCE 10 (Room 216),unassigned,SOCIAL STUDIES 10 (Room A-2),EFP WRITING 10 (Room A-6),unassigned
1660,COMPOSITION 10 (Room 205A),unassigned,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 216),ADST ?  DRAFTING 10 (Room 105),SOCIAL STUDIES 10 (Room A-2),INSTRUMENTAL MUSIC: GUITAR 10 (Room 119),unassigned
1661,FOUNDATIONS OF MATH AND PRE-CA (Room 214),ADST ?  ELECTRONICS AND ROBOTI (Room 104),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 216),ADST-Technology Explorations 1,COMPUTER SCIENCE 11 (Room 203),EFP WRITING 10 (Room A-6),unassigned
1662,COMPOSITION 10 (Room 205A),unassigned,ADST ?  POWER TECHNOLOGY 10,SCIENCE 10 (Room 216),unassigned,SOCIAL STUDIES 10 (Room A-2),PHYSICAL AND HEALTH EDUCATION (Room Gym),LEARNING STRATEGIES 10 (Room A-3)
1663,ACCOUNTING 11 (Room 208),unassigned,SOCIAL STUDIES 10 (Room 121),SCIENCE 10 (Room 216),COMPOSITION 10 (Room 209),ACTIVE LIVING 11 Girls (Room Gym),ADST ?  FOOD STUDIES 10 (Room 206),unassigned
1664,COMPOSITION 10 (Room 205A),INDEPENDENT DIRECTED STUDIES 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 216),ADST ?  DRAFTING 10 (Room 105),COMMUNITY LEADERSHIP 10 (Room 209),SOCIAL STUDIES 10 (Room 107),unassigned
1665,ADST ?  FOOD STUDIES 10 (Room 206),ADST-Technology Explorations 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),INDEPENDENT DIRECTED STUDIES 1 (Room 123),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room A-3),EFP WRITING 10 (Room A-6),unassigned
1666,SCIENCE 10: CHALLENGE (Room 226),DRAMA 10 (Room A-1),PHYSICAL AND HEALTH EDUCATION (Room Gym),PRE-CALCULUS 11 (Room 210),COMPOSITION 10 Challenge (Room 123),COMMUNITY LEADERSHIP 10 (Room 209),FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1667,ADST ?  FOOD STUDIES 10 (Room 206),unassigned,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10: CHALLENGE (Room 226),COMPOSITION 10 Challenge (Room 123),COMPUTER SCIENCE 11 (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1668,ACCOUNTING 11 (Room 208),unassigned,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 216),Information and Communications (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room A-3),EFP WRITING 10 (Room A-6),unassigned
1669,SCIENCE 10: CHALLENGE (Room 226),ADST ?  ELECTRONICS AND ROBOTI (Room 104),ADST ?  POWER TECHNOLOGY 10,SOCIAL STUDIES 10 CHALLENGE (Room 121),COMPOSITION 10 Challenge (Room 123),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1670,unassigned,unassigned,SCIENCE 10 (Room 227),LIFE SCIENCES 11 (Room 219),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room A-3),EFP WRITING 10 (Room A-6),unassigned
1671,unassigned,unassigned,SOCIAL STUDIES 10 (Room 121),SCIENCE 10 (Room 216),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room A-3),EFP WRITING 10 (Room A-6),unassigned
1672,unassigned,DRAMA 10 (Room A-1),unassigned,unassigned,COMPOSITION 10 (Room 209),unassigned,SOCIAL STUDIES 10 (Room 107),unassigned
1673,CROSS TRAINING 10 (Room Gym),ADST ?  WOODWORK 10 (Room 101),SCIENCE 10 (Room 227),unassigned,unassigned,SOCIAL STUDIES 10 (Room A-2),EFP WRITING 10 (Room A-6),unassigned
1674,VISUAL ARTS: PHOTOGRAPHY 10 (Room 113),unassigned,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),Information and Communications (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room 214),EFP WRITING 10 (Room A-6),unassigned
1675,FOUNDATIONS OF MATH AND PRE-CA (Room 214),unassigned,FRENCH 9 (Room 122),SCIENCE 10 (Room 211),unassigned,SOCIAL STUDIES 10 (Room A-2),EFP WRITING 10 (Room A-6),unassigned
1676,unassigned,TEXTILES 10 (Room 206),SCIENCE 10 (Room 227),unassigned,unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 214),EFP WRITING 10 (Room A-6),LEARNING STRATEGIES 10 (Room A-3)
1677,ADST ?  FOOD STUDIES 10 (Room 206),ADST-Technology Explorations 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 214),EFP WRITING 10 (Room A-6),unassigned
1678,SCIENCE 10: CHALLENGE (Room 226),unassigned,PHYSICAL AND HEALTH EDUCATION (Room Gym),SOCIAL STUDIES 10 CHALLENGE (Room 121),COMPOSITION 10 Challenge (Room 123),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1679,SCIENCE 10: CHALLENGE (Room 226),unassigned,FRENCH 10 (Room 122),SOCIAL STUDIES 10 CHALLENGE (Room 121),COMPOSITION 10 Challenge (Room 123),COMPUTER SCIENCE 11 (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1680,VISUAL ARTS: PHOTOGRAPHY 10 (Room 113),unassigned,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),ADST ?  DRAFTING 10 (Room 105),FOUNDATIONS OF MATH AND PRE-CA (Room 214),EFP WRITING 10 (Room A-6),COMMUNITY LEADERSHIP 10 Linear (Room 123)
1681,SCIENCE 10: CHALLENGE (Room 226),ADST ? MEDIA DESIGN 10 (Room 114),PHYSICAL AND HEALTH EDUCATION (Room Gym),SOCIAL STUDIES 10 CHALLENGE (Room 121),COMPOSITION 10 Challenge (Room 123),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1682,unassigned,INDEPENDENT DIRECTED STUDIES 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),EFP WRITING 10 (Room A-6),FOUNDATIONS OF MATH AND PRE-CA (Room 214),ADST ? ENTREPRENEURSHIP AND MA (Room 123),unassigned
1683,ADST ?  FOOD STUDIES 10 (Room 206),VISUAL ARTS: ART STUDIO 10,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),COMPOSITION 10 (Room 209),FOUNDATIONS OF MATH AND PRE-CA (Room 214),SOCIAL STUDIES 10 (Room 107),unassigned
1684,unassigned,ADST ?  WOODWORK 10 (Room 101),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),COMPOSITION 10 (Room 209),FOUNDATIONS OF MATH AND PRE-CA (Room 214),SOCIAL STUDIES 10 (Room 107),unassigned
1685,ADST ?  FOOD STUDIES 10 (Room 206),ADST ? MEDIA DESIGN 10 (Room 114),SCIENCE 10 (Room 227),unassigned,COMPOSITION 10 (Room 209),SOCIAL STUDIES 10 (Room A-2),PHYSICAL AND HEALTH EDUCATION (Room Gym),unassigned
1686,ADST ? MEDIA DESIGN 10 (Room 114),DRAMA 10 (Room A-1),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10: CHALLENGE (Room 226),COMPOSITION 10 Challenge (Room 205A),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1687,ADST ?  FOOD STUDIES 10 (Room 206),unassigned,SCIENCE 10 (Room 227),unassigned,unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 214),EFP WRITING 10 (Room A-6),unassigned
1688,SCIENCE 10: CHALLENGE (Room 226),ADST-Technology Explorations 1,unassigned,SOCIAL STUDIES 10 CHALLENGE (Room 121),COMPOSITION 10 Challenge (Room 205A),COMPUTER SCIENCE 11 (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1689,unassigned,ADST-Technology Explorations 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 214),EFP WRITING 10 (Room A-6),unassigned
1690,ADST ?  FOOD STUDIES 10 (Room 206),ADST ? MEDIA DESIGN 10 (Room 114),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),COMPOSITION 10 (Room 209),SOCIAL STUDIES 10 (Room A-2),unassigned,unassigned
1691,ADST ?  FOOD STUDIES 10 (Room 206),unassigned,FRENCH 10 (Room 122),SCIENCE 10 (Room 211),COMPOSITION 10 (Room 209),FOUNDATIONS OF MATH AND PRE-CA (Room 214),DANCE FOUNDATIONS 10 (Room Studio),unassigned
1692,unassigned,ADST ? MEDIA DESIGN 10 (Room 114),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),COMPOSITION 10 (Room 209),FOUNDATIONS OF MATH AND PRE-CA (Room 214),SOCIAL STUDIES 10 (Room 208),unassigned
1693,SCIENCE 9 (Room 216),TEXTILES 10 (Room 206),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),ADST ?  DRAFTING 10 (Room 105),FOUNDATIONS OF MATH AND PRE-CA (Room 214),EFP WRITING 10 (Room A-6),unassigned
1694,VISUAL ARTS: PHOTOGRAPHY 10 (Room 113),YOGA FOR MINDFULNESS 10 (Room Gym),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 214),EFP WRITING 10 (Room A-6),unassigned
1695,ADST ?  FOOD STUDIES 10 (Room 206),INDEPENDENT DIRECTED STUDIES 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),EFP WRITING 10 (Room A-6),FOUNDATIONS OF MATH AND PRE-CA (Room 214),DANCE FOUNDATIONS 10 (Room Studio),unassigned
1696,ACCOUNTING 11 (Room 208),unassigned,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),COMPOSITION 10 (Room 209),FOUNDATIONS OF MATH AND PRE-CA (Room 214),ADST ?  FOOD STUDIES 10 (Room 206),unassigned
1697,VISUAL ARTS: PHOTOGRAPHY 10 (Room 113),YOGA FOR MINDFULNESS 10 (Room Gym),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),COMPOSITION 10 (Room 209),FOUNDATIONS OF MATH AND PRE-CA (Room 214),SOCIAL STUDIES 10 (Room 208),COMMUNITY LEADERSHIP 10 Linear (Room 123)
1698,ACCOUNTING 11 (Room 208),unassigned,INTRODUCTORY SPANISH 11 (Room 123),PHYSICS 11 (Room 211),unassigned,PRE-CALCULUS 11 (Room 208),unassigned,unassigned
1699,ADST ?  FOOD STUDIES 10 (Room 206),DRAMA 10 (Room A-1),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 211),Information and Communications (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room 214),EFP WRITING 10 (Room A-6),unassigned
1700,unassigned,unassigned,SOCIAL STUDIES 10 (Room 121),SCIENCE 10 (Room 211),COMPOSITION 10 (Room 209),FOUNDATIONS OF MATH AND PRE-CA (Room 214),unassigned,unassigned
1701,ADST ?  FOOD STUDIES 10 (Room 206),unassigned,FRENCH 10 (Room 122),SCIENCE 10 (Room 211),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 214),EFP WRITING 10 (Room A-6),unassigned
