,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
114,"ADST – MEDIA DESIGN 10 (13 students)
MEDIA DESIGN 11 (7 students)
MEDIA DESIGN 12 (4 students)",,3D ANIMATION 12 (24 students),"ADST – MEDIA DESIGN 10 (12 students)
MEDIA DESIGN 11 (5 students)
MEDIA DESIGN 12 (4 students)",Information and Communications Technologies 10 (24 students),Information and Communications Technologies 10 (24 students),,
116,,"VISUAL ARTS 9 (17 students)
VISUAL ARTS: ART STUDIO 10 (8 students)
ART STUDIO 11 (2 students)
ART STUDIO 12 (3 students)",,,"VISUAL ARTS 9 (6 students)
VISUAL ARTS: ART STUDIO 10 (6 students)
ART STUDIO 11 (10 students)
ART STUDIO 12 (8 students)",,"VISUAL ARTS 9 (21 students)
VISUAL ARTS: ART STUDIO 10 (4 students)
ART STUDIO 11 (3 students)
ART STUDIO 12 (2 students)",
119,INSTRUMENTAL MUSIC 11: GUITAR (10 students),INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear (30 students),CONCERT BAND 9 Linear (25 students),"INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR (8 students)
INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR (6 students)",INSTRUMENTAL MUSIC 12: GUITAR (11 students),CONCERT BAND 9 Linear (25 students),"INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR (8 students)
INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR (6 students)",INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear (30 students)
120,,,,,"CROSS TRAINING 10 (13 students)
CROSS TRAINING 11 (10 students)
CROSS TRAINING 12 (7 students)",,,
121,CONTEMPORARY INDIGENOUS STUDIES 12 (19 students),SOCIAL JUSTICE 12 (30 students),LAW STUDIES 12 (27 students),SOCIAL STUDIES 10 CHALLENGE (24 students),SOCIAL STUDIES 10 CHALLENGE (19 students),20th CENTURY WORLD HISTORY 12 (30 students),PHYSICAL GEOGRAPHY 12 (18 students),SOCIAL STUDIES 9 (15 students)
122,ENGLISH FIRST PEOPLES 12 (29 students),SOCIAL STUDIES 9 (20 students),COMPOSITION 10 (11 students),EXPLORATIONS IN SOCIAL STUDIES 11 (15 students),EFP WRITING 10 (28 students),"FRENCH 11 (22 students)
FRENCH 12 (8 students)",,PSYCHOLOGY 11 (30 students)
123,WORKPLACE MATHEMATICS 11 (20 students),CRIMINOLOGY 12 (30 students),COMPOSITION 11 (26 students),ADST – ENTREPRENEURSHIP AND MARKETING 10 (30 students),ENGLISH STUDIES 12 (25 students),ENVIRONMENTAL SCIENCE 11 (23 students),ENGLISH LANGUAGE ARTS 9 (27 students),ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE (24 students)
201,,CAREER LIFE EDUCATION 10 (25 students),CAREER LIFE EDUCATION 10 (24 students),,,,,CAREER LIFE EDUCATION 10 (30 students)
203,"COMPUTER SCIENCE 11 (21 students)
COMPUTER SCIENCE 12 (3 students)",Information and Communications Technologies 10 (24 students),COMPUTER PROGRAMMING 12 AI and (5 students),Information and Communications Technologies 10 (24 students),"COMPUTER SCIENCE 11 (20 students)
COMPUTER SCIENCE 12 (4 students)",,COMPUTER PROGRAMMING 11 AI and (20 students),"AP COMPUTER SCIENCE A 12 (3 students)
COMPUTER SCIENCE 11 (15 students)
COMPUTER SCIENCE 12 (6 students)"
205A,"SPANISH 10 (19 students)
SPANISH 11 (7 students)
SPANISH 12 (4 students)",PSYCHOLOGY 11 (30 students),COMPOSITION 11 (20 students),SOCIAL STUDIES 10 (24 students),,CRIMINOLOGY 12 (30 students),SOCIAL STUDIES 10 (27 students),
205B,COMPOSITION 10 (19 students),EFP WRITING 10 (30 students),ENGLISH STUDIES 12 (30 students),SOCIAL STUDIES 9 (22 students),COMPOSITION 11 (29 students),,SOCIAL STUDIES 10 (29 students),COMPOSITION 10 (24 students)
206,,,"ACCOUNTING 11 (24 students)
ACCOUNTING 12 (6 students)
ADST – FOOD STUDIES 10 (19 students)
ADST – FOOD STUDIES 10 (18 students)
ADST – FOOD STUDIES 10 (22 students)","FOOD STUDIES 11 (14 students)
FOOD STUDIES 11 (7 students)
FOOD STUDIES 11 (15 students)
FOOD STUDIES 11 (10 students)
FOOD STUDIES 12 (16 students)
FOOD STUDIES 12 (23 students)
FOOD STUDIES 12 (15 students)
FOOD STUDIES 12 (20 students)","ACCOUNTING 11 (24 students)
ACCOUNTING 12 (6 students)",,,
207A,SOCIAL STUDIES 10 (30 students),SOCIAL STUDIES 9 (30 students),ENGLISH LANGUAGE ARTS 9 CHALLENGE (19 students),ENGLISH FIRST PEOPLES 12 (18 students),COMPOSITION 10 Challenge (17 students),ENGLISH FIRST PEOPLES 12 (30 students),PSYCHOLOGY 11 (30 students),COMPOSITION 11 (30 students)
207B,ENVIRONMENTAL SCIENCE 11 (17 students),SOCIAL STUDIES 10 (21 students),"FRENCH 9 (19 students)
FRENCH 10 (5 students)",CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (26 students),ENGLISH LANGUAGE ARTS 9 (14 students),EFP WRITING 10 (15 students),EXPLORATIONS IN SOCIAL STUDIES 11 (30 students),SOCIAL STUDIES 9 CHALLENGE (30 students)
208,"SPOKEN LANGUAGE 11 (5 students)
ELL Academic Literacy 11 (10 students)",ENVIRONMENTAL SCIENCE 11 (13 students),COMPOSITION 11 (16 students),COMPOSITION 11 (18 students),"FRENCH 11 (21 students)
FRENCH 12 (9 students)",ENGLISH LANGUAGE ARTS 9 CHALLENGE (15 students),LITERARY STUDIES 12 (21 students),"SPANISH 11 (20 students)
SPANISH 12 (10 students)"
