Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1414,CHEMISTRY 11 (Room 226),ROBOTICS 11 (Room 104),COMPOSITION 11 (Room 123),ENGINEERING 11 (Room 105),PHYSICS 11 (Room 219),unassigned,OUTDOOR EDUCATION 11 (Room _CHECK THIS THING IDK),CONTEMPORARY INDIGENOUS STUDIES 12 (Room A-2)
1415,BEGINNERS ELL 10 (Room A-6),PHYSICS 11 (Room 223),CAREER LIFE EDUCATION 10 (Room 201),PRE-CALCULUS 11 (Room 106),ART STUDIO 11 (Room 116),SOCIAL STUDIES 10 (Room 222),ACTIVE LIVING 11 (Room Gym),COMPOSITION 10 (Room 205B)
1416,ENGINEERING 11 (Room 104),PRE-CALCULUS 11 (Room 220),COMPOSITION 11 (Room 208),ECONOMICS 12 (Room 209),LAW STUDIES 12 (Room 107),ANATOMY AND PHYSIOLOGY 12 (Room 211),AUTOMOTIVE TECHNOLOGY 11 (Room 102),CAREER LIFE EDUCATION 10 (Room 201)
1417,CONTEMPORARY INDIGENOUS STUDIES 12 (Room 121),PRE-CALCULUS 11 (Room 212),CHEMISTRY 11 (Room 227),FOOD STUDIES 11 (Room 206),COMPOSITION 11 (Room 205B),YOGA FOR MINDFULNESS 11 (Room Gym),ACTIVE LIVING 11 (Room Gym),CAREER LIFE EDUCATION 10 (Room 201)
1418,unassigned,unassigned,COMPOSITION 11 (Room 123),PRE-CALCULUS 11 (Room 221),LIFE SCIENCES 11 (Room 227),unassigned,EXPLORATIONS IN SOCIAL STUDIES 11 (Room 207B),unassigned
1419,CONTEMPORARY INDIGENOUS STUDIES 12 (Room 121),CRIMINOLOGY 12 (Room 123),LIFE SCIENCES 11 (Room 225),MEDIA DESIGN 11 (Room 114),COMPOSITION 11 (Room 209),LEARNING STRATEGIES 11 (Room 108),ART STUDIO 11 (Room 116),PSYCHOLOGY 11 (Room 122)
1420,CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (Room 222),LAW STUDIES 12 (Room 222),CAREER LIFE EDUCATION 10 Linear (Room 104),PRE-CALCULUS 11 HONOURS (Room 210),LITERARY STUDIES 11 Challenge (Room A-7),unassigned,CAREER LIFE EDUCATION 10 Linear (Room 104),CHEMISTRY 11 (Room 223)
1421,WORKPLACE MATHEMATICS 11 (Room 123),ENVIRONMENTAL SCIENCE 11 (Room 208),LEARNING STRATEGIES 11 LINEAR (Room 108),FOOD STUDIES 11 (Room 206),COMPOSITION 11 (Room 209),ACTIVE LIVING 11 Girls (Room Gym),LEARNING STRATEGIES 11 LINEAR (Room 108),CONTEMPORARY INDIGENOUS STUDIES 12 (Room A-2)
1422,COMPOSITION 11 (Room 209),SOCIAL JUSTICE 12 (Room A-3),FOUNDATIONS OF MATHEMATICS 11 (Room 221),CHEMISTRY 11 (Room 227),LIFE SCIENCES 11 (Room 227),CAREER LIFE EDUCATION 10 (Room 104),DANCE TECHNIQUE AND PERFORMANCE 11 (Room Studio),SPANISH 12 (Room 208)
1423,LIFE SCIENCES 11 (Room 211),PSYCHOLOGY 11 (Room 205A),ACCOUNTING 11 (Room 206),MARKETING AND PROMOTION 11 (Room 107),FOUNDATIONS OF MATHEMATICS 11 (Room 214),ACTIVE LIVING 11 Girls (Room Gym),EXPLORATIONS IN SOCIAL STUDIES 11 (Room 207B),COMPOSITION 11 (Room 207A)
