,MINST12C--,CONTEMPORARY INDIGENOUS STUDIE,,,2
,,,,,
,MLFSC11---,LIFE SCIENCES 11,,,5
,,,,,
,MLST-12---,LAW STUDIES 12,,,4
,,,,,
,MLTST10---,LITERARY STUDIES 10,,,0
,,,,,
,MLTST10C--,LITERARY STUDIES 10 Challenge,,,0
,,,,,
,MLTST11C--,LITERARY STUDIES 11 Challenge,,,2
,,,,,
,MLTST12---,LITERARY STUDIES 12,,,1
,,,,,
,MMA--09---,MATHEMATICS 9,,,4
,,,,,
,MMA--09C--,MATHEMATICS 9 CHALLENGE,,,2
,,,,,
,MMA--09H--,MATHEMATICS 9 HONOURS,,,1
,,,,,
,MMACS11---,COMPUTER SCIENCE 11,,,3
,,,,,
,MMACS12---,COMPUTER SCIENCE 12,,,3
,,,,,
,MMAP-11---,MARKETING AND PROMOTION 11,,,1
,,,,,
,MMEDD10---,ADST ? MEDIA DESIGN 10,,,2
,,,,,
,MMEDD11---,MEDIA DESIGN 11,,,2
,,,,,
,MMEDD12---,MEDIA DESIGN 12,,,2
,,,,,
,MMUCB10--L,INSTRUMENTAL MUSIC: CONCERT BA,,,1
,,,,,
,MMUCC10--L,CHORAL MUSIC: CONCERT CHOIR 10,,,1
,,,,,
,MMUGT10---,INSTRUMENTAL MUSIC: GUITAR 10,,,1
,,,,,
,MMUJB10--L,INSTRUMENTAL MUSIC: JAZZ BAND ,,,1
,,,,,
,MMUOR10S-L,INSTRUMENTAL MUSIC: ORCHESTRA ,,,1
,,,,,
,MMUOR11S-L,INSTRUMENTAL MUSIC: ORCHESTRA ,,,1
,,,,,
,MMUOR12S-L,INSTRUMENTAL MUSIC: ORCHESTRA ,,,1
,,,,,
,MODED11---,OUTDOOR EDUCATION 11,,,1
,,,,,
,MODED12---,OUTDOOR EDUCATION 12,,,1
,,,,,
,MPGEO12---,PHYSICAL GEOGRAPHY 12,,,1
,,,,,
,MPH--11---,PHYSICS 11,,,6
,,,,,
,MPH--12---,PHYSICS 12,,,4
,,,,,
,MPHE-09---,PHYSICAL AND HEALTH EDUCATION ,,,3
,,,,,
,MPHE-09--L,PHYSICAL AND HEALTH EDUCATION ,,,2
,,,,,
,MPHE-09B--,PHYSICAL AND HEALTH EDUCATION ,,,4
,,,,,
,MPHE-09FB-,PHYSICAL AND HEALTH EDUCATION ,,,1
,,,,,
,MPHE-09G--,PHYSICAL AND HEALTH EDUCATION ,,,4
,,,,,
,MPHE-09Y--,PHYSICAL AND HEALTH EDUCATION ,,,1
,,,,,
,MPHED10---,PHYSICAL AND HEALTH EDUCATION ,,,3
,,,,,
,MPHED10--L,PHYSICAL AND HEALTH EDUCATION ,,,1
,,,,,
,MPHED10B--,PHYSICAL AND HEALTH EDUCATION ,,,4
,,,,,
,MPHED10FB-,PHYSICAL AND HEALTH EDUCATION ,,,1
,,,,,
,MPHED10G--,PHYSICAL AND HEALTH EDUCATION ,,,4
,,,,,
,MPREC11---,PRE-CALCULUS 11,,,6
,,,,,
,MPREC11H--,PRE-CALCULUS 11 HONOURS,,,1
,,,,,
,MPREC12---,PRE-CALCULUS 12,,,6
,,,,,
,MPREC12H--,PRE-CALCULUS 12 HONOURS,,,1
,,,,,
,MSC--09---,SCIENCE 9,,,6
,,,,,
,MSC--09C--,SCIENCE 9: CHALLENGE,,,2
,,,,,
,MSC--10---,SCIENCE 10,,,7
,,,,,
,MSC--10C--,SCIENCE 10: CHALLENGE,,,2
,,,,,
,MSJ--12---,SOCIAL JUSTICE 12,,,2
,,,,,
,MSP--09---,SPANISH 9,,,2
,,,,,
,MSP--10---,SPANISH 10,,,1
,,,,,
,MSP--11---,SPANISH 11,,,2
,,,,,
,MSP--12---,SPANISH 12,,,2
,,,,,
,MSPLG10---,SPOKEN LANGUAGE 10,,,0
,,,,,
,MSPLG11---,SPOKEN LANGUAGE 11,,,1
,,,,,
,MSS--09---,SOCIAL STUDIES 9,,,7
,,,,,
,MSS--09C--,SOCIAL STUDIES 9 CHALLENGE,,,2
,,,,,
,MSS--10---,SOCIAL STUDIES 10,,,8
,,,,,
,MSS--10C--,SOCIAL STUDIES 10 CHALLENGE,,,2
,,,,,
,MTAUT11---,AUTOMOTIVE TECHNOLOGY 11,,,3
,,,,,
,MTAUT12---,AUTOMOTIVE TECHNOLOGY 12,,,3
,,,,,
,MTDRF10---,ADST ?  DRAFTING 10,,,4
,,,,,
,MTDRF11---,DRAFTING 11,,,4
,,,,,
,MTDRF12---,DRAFTING 12,,,4
,,,,,
,MTEAD12---,ENGINE AND DRIVETRAIN 12,,,3
,,,,,
,MTEAR10---,ADST ?  ELECTRONICS AND ROBOTI,,,2
,,,,,
,MTEAR10--L,ADST ?  ELECTRONICS AND ROBOTI,,,1
,,,,,
,MTEXP10---,ADST-Technology Explorations 1,,,5
,,,,,
,MTPOW10---,ADST ?  POWER TECHNOLOGY 10,,,2
,,,,,
,MTROB11---,ROBOTICS 11,,,2
,,,,,
,MTROB11--L,ROBOTICS 11 LINEAR,,,1
,,,,,
,MTROB12---,ROBOTICS 12,,,2
,,,,,
,MTROB12--L,ROBOTICS 12 LINEAR,,,1
,,,,,
,MTXT-10---,TEXTILES 10,,,4
,,,,,
,MTXT-11---,TEXTILES 11,,,4
,,,,,
,MTXT-12---,TEXTILES 12,,,4
,,,,,
,MVA--09---,VISUAL ARTS 9,,,3
,,,,,
,MVAPH10---,VISUAL ARTS: PHOTOGRAPHY 10,,,2
,,,,,
,MVAPH11---,PHOTOGRAPHY 11,,,2
,,,,,
,MVAPH12---,PHOTOGRAPHY 12,,,2
,,,,,
,MVAST10---,VISUAL ARTS: ART STUDIO 10,,,3
,,,,,
,MVAST11---,ART STUDIO 11,,,3
,,,,,
,MVAST12---,ART STUDIO 12,,,3
,,,,,
,MWBDV10IT-,Information and Communications,,,4
,,,,,
,MWEX-2A---,WORK EXPERIENCE 12A,,,3
,,,,,
,MWEX-2A--L,WORK EXPERIENCE 12A LINEAR,,,1
,,,,,
,MWEX-2B--L,WORK EXPERIENCE 12B LINEAR,,,1
,,,,,
,MWH--12---,20th CENTURY WORLD HISTORY 12,,,2
,,,,,
,MWPM-10---,WORKPLACE MATHEMATICS 10,,,1
,,,,,
,MWPM-11---,WORKPLACE MATHEMATICS 11,,,2
,,,,,
,MWWK-10---,ADST ?  WOODWORK 10,,,2
,,,,,
,MWWK-11---,WOODWORK 11,,,2
,,,,,
,MWWK-12---,WOODWORK 12,,,2
,,,,,
,PBB--2H,CAMOSUN COL BUSINESS 12H,,,2
,,,,,
,XBA--09C-L,CONCERT BAND 9 Linear,,,1
,,,,,
,XBA--09G--,CONCERT BAND 9 - Guitar,,,1
,,,,,
,XBA--09J-L,JAZZ BAND 9 LINEAR,,,1
,,,,,
,XC---09--L,CONCERT CHOIR 9 Linear,,,1
,,,,,
