Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1381,unassigned,20th CENTURY WORLD HISTORY 12,unassigned,PRE-CALCULUS 12,PHYSICS 11,INSTRUMENTAL MUSIC 11:,COMPOSITION 11,ANATOMY AND PHYSIOLOGY 12
1382,unassigned,unassigned,unassigned,PRE-CALCULUS 11,LAW STUDIES 12,INSTRUMENTAL MUSIC 11:,COMPOSITION 11,CAREER LIFE EDUCATION 10 Linea
1383,PSYCHOLOGY 11,COMMUNITY LEADERSHIP 11 Linear,AUTOMOTIVE TECHNOLOGY 11,PRE-CALCULUS 11,LAW STUDIES 12,unassigned,COMPOSITION 11,CAREER LIFE EDUCATION 10
1384,unassigned,unassigned,ART STUDIO 11,SPANISH 11,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACTIVE LIVING 11 Girls
1385,unassigned,unassigned,ROBOTICS 11,PRE-CALCULUS 11,COMPUTER SCIENCE 11,unassigned,COMPOSITION 11,ACTIVE LIVING 11
1386,unassigned,unassigned,unassigned,PRE-CALCULUS 11,unassigned,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACTIVE LIVING 11
1387,unassigned,unassigned,unassigned,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,unassigned
1388,unassigned,COMMUNITY LEADERSHIP 11,TEXTILES 11,PRE-CALCULUS 11,LAW STUDIES 12,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,CHEMISTRY 12
1389,unassigned,20th CENTURY WORLD HISTORY 12,AUTOMOTIVE TECHNOLOGY 11,PRE-CALCULUS 11,LIFE SCIENCES 11,INSTRUMENTAL MUSIC 11:,COMPOSITION 11,CHEMISTRY 11
1390,LEARNING STRATEGIES 11,WORKPLACE MATHEMATICS 11,PHOTOGRAPHY 11,AUTOMOTIVE TECHNOLOGY 11,LAW STUDIES 12,ENGLISH STUDIES 12,unassigned,ACTIVE LIVING 11
1391,LEARNING STRATEGIES 11,unassigned,TEXTILES 11,SOCIAL JUSTICE 12,unassigned,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,CAREER LIFE EDUCATION 10
1392,unassigned,COMMUNITY LEADERSHIP 11 Linear,unassigned,PRE-CALCULUS 11,PHYSICS 11,INSTRUMENTAL MUSIC 11:,COMPOSITION 11,CHEMISTRY 11
1393,CRIMINOLOGY 12,unassigned,unassigned,PRE-CALCULUS 12,LAW STUDIES 12,ENVIRONMENTAL SCIENCE 11,COMPARATIVE CULTURES 12,ACCOUNTING 11
1394,unassigned,COMMUNITY LEADERSHIP 11,unassigned,SPANISH 11,LIFE SCIENCES 11,CONTEMPORARY INDIGENOUS STUDIE,unassigned,AP STATISTICS 12
1395,PSYCHOLOGY 11,unassigned,TEXTILES 11,unassigned,unassigned,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,CAREER LIFE EDUCATION 10
1396,CRIMINOLOGY 12,20th CENTURY WORLD HISTORY 12,unassigned,AUTOMOTIVE TECHNOLOGY 11,unassigned,FOUNDATIONS OF MATHEMATICS 11,COMPOSITION 11,CHEMISTRY 11
1397,PSYCHOLOGY 11,unassigned,unassigned,PRE-CALCULUS 11,unassigned,LIFE SCIENCES 11,COMPOSITION 11,unassigned
1398,YOGA FOR MINDFULNESS 11,WORKPLACE MATHEMATICS 11,ADST ?  POWER TECHNOLOGY 10,SPANISH 11,unassigned,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,ACTIVE LIVING 11
1399,PSYCHOLOGY 11,unassigned,unassigned,PRE-CALCULUS 11,OUTDOOR EDUCATION 11,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,CHEMISTRY 11
1400,CROSS TRAINING 11,unassigned,unassigned,PRE-CALCULUS 11,MARKETING AND PROMOTION 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACTIVE LIVING 11 Football
1401,unassigned,COMMUNITY LEADERSHIP 11 Linear,unassigned,PRE-CALCULUS 11,LIFE SCIENCES 11,INSTRUMENTAL MUSIC 11:,COMPOSITION 11,ACCOUNTING 11
1402,unassigned,unassigned,unassigned,PRE-CALCULUS 11,unassigned,FOOD STUDIES 11,COMPOSITION 11,unassigned
1403,unassigned,WORKPLACE MATHEMATICS 11,unassigned,SCIENCE 10,MEDIA DESIGN 11,ENVIRONMENTAL SCIENCE 11,ENGLISH FIRST PEOPLES 12 Year,ACTIVE LIVING 11
1404,CROSS TRAINING 11,WORKPLACE MATHEMATICS 11,PHOTOGRAPHY 11,unassigned,LAW STUDIES 12,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,ACTIVE LIVING 11 Football
1405,unassigned,unassigned,unassigned,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,unassigned
1406,PSYCHOLOGY 11,COMMUNITY LEADERSHIP 11 Linear,unassigned,PRE-CALCULUS 11,unassigned,unassigned,COMPOSITION 11,ACCOUNTING 12
1407,unassigned,COMMUNITY LEADERSHIP 11 Linear,unassigned,PRE-CALCULUS 11,LITERARY STUDIES 11 Challenge,INSTRUMENTAL MUSIC 11:,unassigned,CHEMISTRY 11
1408,CRIMINOLOGY 12,COMMUNITY LEADERSHIP 11 Linear,unassigned,PRE-CALCULUS 11,LITERARY STUDIES 11 Challenge,GRAPHIC PRODUCTION 11 LINEAR,unassigned,ANATOMY AND PHYSIOLOGY 12
1409,unassigned,unassigned,unassigned,PRE-CALCULUS 11 HONOURS,LITERARY STUDIES 11 Challenge,FRENCH 11,unassigned,AP COMPUTER SCIENCE A 12
1410,unassigned,unassigned,TEXTILES 11,PRE-CALCULUS 11 HONOURS,MEDIA DESIGN 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,CAREER LIFE EDUCATION 10
1411,unassigned,unassigned,DRAFTING 11,PRE-CALCULUS 11 HONOURS,PHYSICS 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,CHEMISTRY 11
1412,PSYCHOLOGY 11,unassigned,unassigned,unassigned,LIFE SCIENCES 11,FRENCH 11,COMPOSITION 11,unassigned
1413,unassigned,unassigned,TEXTILES 11,unassigned,LIFE SCIENCES 11,FOUNDATIONS OF MATHEMATICS 11,COMPOSITION 10,unassigned
1414,unassigned,unassigned,ROBOTICS 11,PRE-CALCULUS 11,OUTDOOR EDUCATION 11,CONTEMPORARY INDIGENOUS STUDIE,COMPOSITION 11,CHEMISTRY 11
1415,BEGINNERS ELL 10,unassigned,ART STUDIO 11,PRE-CALCULUS 11,PHYSICS 11,unassigned,COMPOSITION 10,ACTIVE LIVING 11
1416,unassigned,unassigned,AUTOMOTIVE TECHNOLOGY 11,PRE-CALCULUS 11,LAW STUDIES 12,unassigned,COMPOSITION 11,ANATOMY AND PHYSIOLOGY 12
1417,YOGA FOR MINDFULNESS 11,unassigned,unassigned,PRE-CALCULUS 11,unassigned,FOOD STUDIES 11,COMPOSITION 11,ACTIVE LIVING 11
1418,unassigned,unassigned,unassigned,PRE-CALCULUS 11,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,unassigned
1419,LEARNING STRATEGIES 11,unassigned,unassigned,unassigned,LIFE SCIENCES 11,FOUNDATIONS OF MATHEMATICS 11,COMPOSITION 11,unassigned
1420,unassigned,unassigned,unassigned,PRE-CALCULUS 11 HONOURS,LAW STUDIES 12,INSTRUMENTAL MUSIC 11:,unassigned,CHEMISTRY 11
1421,LEARNING STRATEGIES 11,WORKPLACE MATHEMATICS 11,unassigned,unassigned,unassigned,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,CAREER LIFE EDUCATION 10 Linea
1422,unassigned,COMMUNITY LEADERSHIP 11 Linear,unassigned,SOCIAL JUSTICE 12,LIFE SCIENCES 11,FOUNDATIONS OF MATHEMATICS 11,COMPOSITION 11,CHEMISTRY 11
1423,PSYCHOLOGY 11,unassigned,unassigned,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACTIVE LIVING 11 Girls
1424,unassigned,unassigned,unassigned,unassigned,MARKETING AND PROMOTION 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACCOUNTING 11
1425,CRIMINOLOGY 12,unassigned,TEXTILES 11,unassigned,unassigned,FRENCH 11,COMPOSITION 11,unassigned
1426,unassigned,unassigned,TEXTILES 11,PRE-CALCULUS 11,MEDIA DESIGN 11,FOOD STUDIES 11,COMPOSITION 11,CAREER LIFE EDUCATION 10 Linea
1427,unassigned,unassigned,unassigned,unassigned,unassigned,LIFE SCIENCES 11,COMPOSITION 11,ACTIVE LIVING 11 Girls
1428,unassigned,unassigned,unassigned,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,unassigned
1429,unassigned,unassigned,ROBOTICS 11,PRE-CALCULUS 11,MEDIA DESIGN 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACTIVE LIVING 11
1430,CRIMINOLOGY 12,WORK EXPERIENCE 12A LINEAR,AUTOMOTIVE TECHNOLOGY 11,PRE-CALCULUS 11,LAW STUDIES 12,FRENCH 11,COMPOSITION 11,CHEMISTRY 11
1431,CRIMINOLOGY 12,unassigned,PHOTOGRAPHY 11,unassigned,unassigned,FOOD STUDIES 11,unassigned,ACTIVE LIVING 11 Girls
1432,LEARNING STRATEGIES 11,unassigned,unassigned,PRE-CALCULUS 11,unassigned,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,unassigned
1433,unassigned,COMMUNITY LEADERSHIP 11,unassigned,PRE-CALCULUS 11 HONOURS,LITERARY STUDIES 11 Challenge,ENVIRONMENTAL SCIENCE 11,DRAMA 11,CHEMISTRY 11
1434,PEER TUTORING 11 LINEAR,unassigned,unassigned,PRE-CALCULUS 11 HONOURS,LITERARY STUDIES 11 Challenge,CONTEMPORARY INDIGENOUS STUDIE,unassigned,AP STATISTICS 12
1435,CRIMINOLOGY 12,unassigned,unassigned,PRE-CALCULUS 11,MARKETING AND PROMOTION 11,FOOD STUDIES 11,COMPOSITION 11,unassigned
1436,PEER TUTORING 11 LINEAR,COMMUNITY LEADERSHIP 11 Linear,ROBOTICS 11 LINEAR,PRE-CALCULUS 11,LITERARY STUDIES 11 Challenge,CONTEMPORARY INDIGENOUS STUDIE,unassigned,AP STATISTICS 12
1437,unassigned,WOODWORK 11,unassigned,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACTIVE LIVING 11
1438,unassigned,unassigned,unassigned,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,CAREER LIFE EDUCATION 10
1439,unassigned,COMMUNITY LEADERSHIP 11 Linear,ART STUDIO 11,PRE-CALCULUS 12,LAW STUDIES 12,unassigned,COMPOSITION 11,ACTIVE LIVING 11
1440,unassigned,unassigned,unassigned,PRE-CALCULUS 11 HONOURS,OUTDOOR EDUCATION 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,CHEMISTRY 11
1441,CRIMINOLOGY 12,WORK EXPERIENCE 12A LINEAR,unassigned,PRE-CALCULUS 11,LAW STUDIES 12,unassigned,COMPOSITION 11,CHEMISTRY 11
1442,unassigned,unassigned,TEXTILES 11,unassigned,unassigned,LIFE SCIENCES 11,COMPOSITION 11,unassigned
1443,PEER TUTORING 11 LINEAR,unassigned,unassigned,PRE-CALCULUS 11,LIFE SCIENCES 11,CONTEMPORARY INDIGENOUS STUDIE,unassigned,ANATOMY AND PHYSIOLOGY 12
1444,unassigned,unassigned,unassigned,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,unassigned
1445,unassigned,unassigned,unassigned,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,unassigned
1446,unassigned,WORKPLACE MATHEMATICS 11,TEXTILES 11,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,CAREER LIFE EDUCATION 10
1447,CRIMINOLOGY 12,unassigned,unassigned,PRE-CALCULUS 11,LAW STUDIES 12,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,CAREER LIFE EDUCATION 10
1448,unassigned,unassigned,ART STUDIO 11,PRE-CALCULUS 11,LIFE SCIENCES 11,ENTREPRENEURSHIP 12,COMPOSITION 11,ACCOUNTING 11
1449,unassigned,unassigned,unassigned,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,unassigned
1450,CRIMINOLOGY 12,COMMUNITY LEADERSHIP 11 Linear,unassigned,PRE-CALCULUS 11,LAW STUDIES 12,unassigned,COMPOSITION 11,CHEMISTRY 11
1451,ATHLETIC LEADERSHIP 11 Linear,unassigned,unassigned,PRE-CALCULUS 11,PHYSICAL GEOGRAPHY 12,LIFE SCIENCES 11,COMPOSITION 11,ANATOMY AND PHYSIOLOGY 12
1452,unassigned,WOODWORK 11,unassigned,PRE-CALCULUS 11,PHYSICS 11,unassigned,COMPARATIVE CULTURES 12,ACTIVE LIVING 11
1453,unassigned,unassigned,unassigned,PRE-CALCULUS 11,LIFE SCIENCES 11,CONTEMPORARY INDIGENOUS STUDIE,unassigned,CHEMISTRY 11
1454,CROSS TRAINING 11,unassigned,unassigned,unassigned,LAW STUDIES 12,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,ACTIVE LIVING 11 Football
1455,unassigned,unassigned,unassigned,PRE-CALCULUS 11,LAW STUDIES 12,INSTRUMENTAL MUSIC 11:,COMPOSITION 11,CHEMISTRY 11
1456,PSYCHOLOGY 11,unassigned,unassigned,unassigned,MARKETING AND PROMOTION 11,unassigned,COMPOSITION 11,ANATOMY AND PHYSIOLOGY 12
1457,CROSS TRAINING 11,WORKPLACE MATHEMATICS 11,unassigned,SPANISH 12,unassigned,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACTIVE LIVING 11 Football
1458,unassigned,unassigned,unassigned,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,unassigned
1459,PEER TUTORING 11 LINEAR,COMMUNITY LEADERSHIP 11 Linear,unassigned,PRE-CALCULUS 11,LAW STUDIES 12,unassigned,COMPOSITION 11,CHEMISTRY 11
1460,LEARNING STRATEGIES 11,WORKPLACE MATHEMATICS 11,unassigned,SOCIAL JUSTICE 12,unassigned,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,CAREER LIFE EDUCATION 10 Linea
1461,CRIMINOLOGY 12,WOODWORK 11,AUTOMOTIVE TECHNOLOGY 11,PRE-CALCULUS 11,PHYSICS 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACTIVE LIVING 11
1462,PEER TUTORING 11 LINEAR,WORK EXPERIENCE 12A LINEAR,unassigned,PRE-CALCULUS 11,LAW STUDIES 12,unassigned,COMPOSITION 11,ANATOMY AND PHYSIOLOGY 12
1463,CRIMINOLOGY 12,COMMUNITY LEADERSHIP 11 Linear,unassigned,PRE-CALCULUS 11 HONOURS,LIFE SCIENCES 11,INSTRUMENTAL MUSIC 11:,COMPOSITION 11,CHEMISTRY 11
1464,CRIMINOLOGY 12,unassigned,unassigned,PRE-CALCULUS 11,LAW STUDIES 12,FOOD STUDIES 11,COMPOSITION 11,INTRODUCTORY SPANISH 11
1465,unassigned,unassigned,PHOTOGRAPHY 11,unassigned,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACTIVE LIVING 11 Girls
1466,unassigned,unassigned,unassigned,unassigned,unassigned,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACTIVE LIVING 11 Girls
1467,unassigned,20th CENTURY WORLD HISTORY 12,unassigned,PRE-CALCULUS 11,OUTDOOR EDUCATION 11,ENTREPRENEURSHIP 12,COMPOSITION 11,ACTIVE LIVING 11
1468,CRIMINOLOGY 12,unassigned,unassigned,PRE-CALCULUS 11,LAW STUDIES 12,INSTRUMENTAL MUSIC 11:,COMPOSITION 11,CHEMISTRY 11
