Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
LEARNING STRATEGIES 11,LEARNING STRATEGIES 9 LD,ADST-Technology Explorations 1,SCIENCE 9,MEDIA DESIGN 12,FOUNDATIONS OF MATH AND PRE-CA,DANCE 10: CHOREOGRAPHY Linear,ADST 9 - General Explorations
LEARNING STRATEGIES 11,LEARNING STRATEGIES 9 LD,ADST ?  POWER TECHNOLOGY 10,SCIENCE 9: CHALLENGE,MEDIA DESIGN 12,FOUNDATIONS OF MATHEMATICS 11,DANCE 11: CHOREOGRAPHY Linear,ADST 9 - General Explorations
PEER TUTORING 11 LINEAR,LEARNING STRATEGIES 9 LD,ADST ?  POWER TECHNOLOGY 10,SCIENCE 9: CHALLENGE,INSTRUMENTAL MUSIC: CONCERT BA,FOUNDATIONS OF MATHEMATICS 11,DANCE 12: CHOREOGRAPHY Linear,ADST 9 - General Explorations
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD,ROBOTICS 11,SCIENCE 10,CHORAL MUSIC: CONCERT CHOIR 10,ADST ?  FOOD STUDIES 10,DANCE COMPANY 10 Linear,ADST 9 - General Explorations
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD,ROBOTICS 11,SCIENCE 10,INSTRUMENTAL MUSIC: GUITAR 10,ADST ?  FOOD STUDIES 10,DANCE COMPANY 11 Linear,ADST - Textiles 9
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD,ROBOTICS 11 LINEAR,SCIENCE 10,INSTRUMENTAL MUSIC: JAZZ BAND,ADST ?  FOOD STUDIES 10,DANCE COMPANY 12 Linear,ADST - Textiles 9
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD,ROBOTICS 12,SCIENCE 10,INSTRUMENTAL MUSIC: ORCHESTRA,FOOD STUDIES 11,DANCE CONDITIONING 11,ADST - Textiles 9
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD,ROBOTICS 12,SCIENCE 10,INSTRUMENTAL MUSIC: ORCHESTRA,FOOD STUDIES 11,DANCE CONDITIONING 12,ADST - Textiles 9
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD,ROBOTICS 12 LINEAR,SCIENCE 10,INSTRUMENTAL MUSIC: ORCHESTRA,FOOD STUDIES 11,DANCE TECHNIQUE AND PERFORMANC,ADST - Woodwork 9
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD,TEXTILES 10,SCIENCE 10,OUTDOOR EDUCATION 11,FOOD STUDIES 11,DANCE TECHNIQUE AND PERFORMANC,ADST - Woodwork 9
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD,TEXTILES 10,SCIENCE 10: CHALLENGE,OUTDOOR EDUCATION 12,FOOD STUDIES 12,DANCE TECHNIQUE AND PERFORMANC,ANATOMY AND PHYSIOLOGY 12
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD,TEXTILES 10,SCIENCE 10: CHALLENGE,PHYSICAL GEOGRAPHY 12,FOOD STUDIES 12,DRAMA 9,ANATOMY AND PHYSIOLOGY 12
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD,TEXTILES 10,SOCIAL JUSTICE 12,PHYSICS 11,FOOD STUDIES 12,DRAMA 10,ANATOMY AND PHYSIOLOGY 12
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD LINEA,TEXTILES 11,SOCIAL JUSTICE 12,PHYSICS 11,FOOD STUDIES 12,DRAMA 11,ANATOMY AND PHYSIOLOGY 12
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD LINEA,TEXTILES 11,SPANISH 9,PHYSICS 11,FRENCH 9,DRAMA 12,ANATOMY AND PHYSIOLOGY 12
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD LINEA,TEXTILES 11,SPANISH 9,PHYSICS 11,FRENCH 9,ECONOMICS 12,INTRODUCTORY SPANISH 11
LEARNING STRATEGIES 12,LEARNING STRATEGIES 9 LD LINEA,TEXTILES 11,SPANISH 10,PHYSICS 11,FRENCH 9,ECONOMICS 12,INTRODUCTORY SPANISH 11
LEARNING STRATEGIES 12,TECH ED 9: MECHANICS LD,TEXTILES 12,SPANISH 11,PHYSICS 11,FRENCH 10,E-COMMERCE 12,CALCULUS 12
LEARNING STRATEGIES 12,TECH ED 9: MECHANICS LD,TEXTILES 12,SPANISH 11,PHYSICS 12,FRENCH 10,E-COMMERCE 12,CALCULUS 12
LEARNING STRATEGIES 12,STRINGS 9 LINEAR,TEXTILES 12,SPANISH 12,PHYSICS 12,FRENCH 10,EFP WRITING 10,CALCULUS 12
LEARNING STRATEGIES 12 LINEAR,COMMUNITY LEADERSHIP 10 Linear,TEXTILES 12,SPANISH 12,PHYSICS 12,FRENCH 11,EFP WRITING 10,CHEMISTRY 11
LEARNING STRATEGIES 12 LINEAR,COMMUNITY LEADERSHIP 10,VISUAL ARTS 9,SPOKEN LANGUAGE 11,PHYSICS 12,FRENCH 11,EFP WRITING 10,CHEMISTRY 11
LEARNING STRATEGIES 12 LINEAR,COMMUNITY LEADERSHIP 11 Linear,VISUAL ARTS 9,SOCIAL STUDIES 9,PHYSICAL AND HEALTH EDUCATION,FRENCH 12,EFP WRITING 10,CHEMISTRY 11
PEER TUTORING 12 LINEAR,COMMUNITY LEADERSHIP 11,VISUAL ARTS 9,SOCIAL STUDIES 9,PHYSICAL AND HEALTH EDUCATION,FRENCH 12,EFP WRITING 10,CHEMISTRY 11
SCHOLARSHIP PREPARATION 12 LIN,COMMUNITY LEADERSHIP 12 Linear,VISUAL ARTS: PHOTOGRAPHY 10,SOCIAL STUDIES 9,PHYSICAL AND HEALTH EDUCATION,GRAPHIC PRODUCTION 11 LINEAR,ENGLISH LANGUAGE ARTS 9,CHEMISTRY 11
BEGINNERS ELL 10,COMMUNITY LEADERSHIP 12,VISUAL ARTS: PHOTOGRAPHY 10,SOCIAL STUDIES 9,PHYSICAL AND HEALTH EDUCATION,GRAPHIC PRODUCTION 12 LINEAR,ENGLISH LANGUAGE ARTS 9,CHEMISTRY 11
ELL Academic Literacy 11,LEARNING STRATEGIES 10,PHOTOGRAPHY 11,SOCIAL STUDIES 9,PHYSICAL AND HEALTH EDUCATION,INDEPENDENT DIRECTED STUDIES 1,ENGLISH LANGUAGE ARTS 9,CHEMISTRY 12
CROSS TRAINING 10,LEARNING STRATEGIES 10,PHOTOGRAPHY 11,SOCIAL STUDIES 9,PHYSICAL AND HEALTH EDUCATION,INDEPENDENT DIRECTED STUDIES 1,ENGLISH LANGUAGE ARTS 9,CHEMISTRY 12
CROSS TRAINING 11,LEARNING STRATEGIES 10,PHOTOGRAPHY 12,SOCIAL STUDIES 9,PHYSICAL AND HEALTH EDUCATION,INSTRUMENTAL MUSIC 11:,ENGLISH LANGUAGE ARTS 9,CHEMISTRY 12
CROSS TRAINING 12,LEARNING STRATEGIES 10,PHOTOGRAPHY 12,SOCIAL STUDIES 9 CHALLENGE,PHYSICAL AND HEALTH EDUCATION,INSTRUMENTAL MUSIC 12: CONCERT,ENGLISH LANGUAGE ARTS 9,CHEMISTRY 12
CRIMINOLOGY 12,LEARNING STRATEGIES 10,VISUAL ARTS: ART STUDIO 10,SOCIAL STUDIES 9 CHALLENGE,PHYSICAL AND HEALTH EDUCATION,INSTRUMENTAL MUSIC 11: GUITAR,ENGLISH LANGUAGE ARTS 9 CHALLE,CHEMISTRY 12
CRIMINOLOGY 12,LEARNING STRATEGIES 10,VISUAL ARTS: ART STUDIO 10,SOCIAL STUDIES 10,PHYSICAL AND HEALTH EDUCATION,INSTRUMENTAL MUSIC 12: GUITAR,ENGLISH LANGUAGE ARTS 9 CHALLE,CHEMISTRY 12
CRIMINOLOGY 12,LEARNING STRATEGIES 10,VISUAL ARTS: ART STUDIO 10,SOCIAL STUDIES 10,PHYSICAL AND HEALTH EDUCATION,INSTRUMENTAL MUSIC 11: JAZZ BA,ENGLISH 9 FOR ELL,CAREER LIFE CONNECTIONS
ATHLETIC LEADERSHIP 10 U16,LEARNING STRATEGIES 10,ART STUDIO 11,SOCIAL STUDIES 10,PHYSICAL AND HEALTH EDUCATION,INSTRUMENTAL MUSIC 12: JAZZ BA,ENGLISH FIRST PEOPLES 12,CAREER LIFE CONNECTIONS Linear
ATHLETIC LEADERSHIP 11 Linear,LEARNING STRATEGIES 10,ART STUDIO 11,SOCIAL STUDIES 10,PHYSICAL AND HEALTH EDUCATION,CONTEMPORARY INDIGENOUS STUDIE,ENGLISH FIRST PEOPLES 12,CAREER LIFE EDUCATION 10
ATHLETIC LEADERSHIP 12 Linear,LEARNING STRATEGIES 10,ART STUDIO 11,SOCIAL STUDIES 10,PHYSICAL AND HEALTH EDUCATION,CONTEMPORARY INDIGENOUS STUDIE,ENGLISH FIRST PEOPLES 12,CAREER LIFE EDUCATION 10
YOGA FOR MINDFULNESS 10,LEARNING STRATEGIES 10,ART STUDIO 12,SOCIAL STUDIES 10,PHYSICAL AND HEALTH EDUCATION,CONTEMPORARY INDIGENOUS STUDIE,ENGLISH FIRST PEOPLES 12 Year,CAREER LIFE EDUCATION 10
YOGA FOR MINDFULNESS 11,LEARNING STRATEGIES 10,ART STUDIO 12,SOCIAL STUDIES 10,PHYSICAL AND HEALTH EDUCATION,CONTEMPORARY INDIGENOUS STUDIE,ENGINEERING 11,CAREER LIFE EDUCATION 10
YOGA FOR MINDFULNESS 12,LEARNING STRATEGIES 10,ART STUDIO 12,SOCIAL STUDIES 10,PHYSICAL AND HEALTH EDUCATION,LIFE SCIENCES 11,ENGINEERING 11,CAREER LIFE EDUCATION 10
OUTDOOR EDUCATION 10,LEARNING STRATEGIES 10,Information and Communications,SOCIAL STUDIES 10 CHALLENGE,PHYSICAL AND HEALTH EDUCATION,LIFE SCIENCES 11,ENGINEERING 11,CAREER LIFE EDUCATION 10 Linea
PSYCHOLOGY 11,LEARNING STRATEGIES 10,Information and Communications,SOCIAL STUDIES 10 CHALLENGE,PHYSICAL AND HEALTH EDUCATION,LIFE SCIENCES 11,ENGINEERING 11,CHORAL MUSIC 11: CONCERT CHOIR
PSYCHOLOGY 11,LEARNING STRATEGIES 10,Information and Communications,AUTOMOTIVE TECHNOLOGY 11,PHYSICAL AND HEALTH EDUCATION,LIFE SCIENCES 11,ENGINEERING 11,CHORAL MUSIC 12: CONCERT CHOIR
PSYCHOLOGY 11,LEARNING STRATEGIES 10,Information and Communications,AUTOMOTIVE TECHNOLOGY 11,PHYSICAL AND HEALTH EDUCATION,,,
