Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1114,YED--2FX-L,YCPA-2AX-L,,MPREC12H--,MLTST12---,,MEC--12---,AELC-12---
1115,YED--2FX-L,PBB--2H,,MPREC12---,MPH--12---,MENST12---,MEC--12---,MCALC12---
1116,,MWH--12---,,,,MENST12---,MCMCL12---,MCLC-12--L
1117,YLRA-2AX-L,,MTAUT12---,,MPGEO12---,MFOOD12---,MEC--12---,MATPH12---
1118,YED--2FX-L,MWH--12---,,,MLST-12---,MFOOD12---,MCMCL12---,MATPH12---
1119,YED--2CX--,MWPM-11---,MTXT-12---,MSPLG11---,,,MENFP12--Y,MACLV12G--
1120,,MWPM-11---,MTAUT12---,,,MEPSS11---,MENFP12---,MCLC-12--L
1121,YESFL1CX--,,,MPREC12---,,MLFSC11---,MENFP12--Y,MATPH12---
1122,YED--2DX-L,,,MPREC12H--,MLST-12---,MENST12C--,,ACAL-12---
1123,YLRA-2AX-L,,,MPREC12---,MLFSC11---,MIMG-12---,MEC--12---,MATPH12---
1124,,,,MPREC12---,MLFSC11---,MENST12---,,MATPH12---
1125,,,,MPREC12---,MPH--12---,,MENFP12---,MATPH12---
1126,YPSYC1AX--,MWH--12---,MTXT-12---,,MLFSC11---,MENST12---,,MATPH12---
1127,YED--2DX-L,,MVAST12---,MPREC12---,MLTST12---,,,AELC-12---
1128,,,,MPREC12---,MLFSC11---,MENST12---,,MATPH12---
1129,YPSYC1AX--,MWH--12---,,MPREC12---,MPGEO12---,MENST12---,,MACLV12G--
1130,YED--2FX-L,,,MPREC12---,MLTST12---,,,AELC-12---
1131,,,,MPREC12---,MLST-12---,MENST12---,,MATPH12---
1132,YED--2FX-L,YCPA-2AX-L,,MPREC12H--,MLST-12---,MENST12C--,MEC--12---,ACAL-12---
1133,,,,MPREC12H--,MLTST12---,MFOOD12---,,ACAL-12---
1134,YED--2FX-L,,MTROB12---,MPREC12---,,MENR-12---,,APHM-12---
